boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,BoroCTLbl,tract_race_acs2018_Total,tract_race_acs2018_White,tract_race_acs2018_Black,tract_race_acs2018_Native,tract_race_acs2018_Asian,tract_race_acs2018_Pacific Islander,tract_race_acs2018_Other,tract_race_acs2018_Two or More,Hospital N,Addresss,System,Number of,GFA,Year built,Latitude,Longitude
"1","1010400",Manhattan,I,"010400","104",MN17,Midtown-Midtown South,"3807",1864600.3750299999956041574478149414063,5693.0363665499999115127138793468475,Manhattan 104,"919","647","22","0","179","14","57","0",NYU Langone Hospitals,"550 First Avenue, New York, NY 10016",NYU Langone,"844","1,153,372","1900",40.742126499999998,-73.976152900000002
"1","1010400",Manhattan,I,"010400","104",MN17,Midtown-Midtown South,"3807",1864600.3750299999956041574478149414063,5693.0363665499999115127138793468475,Manhattan 104,"919","647","22","0","179","14","57","0",Memorial Hospital for Cancer and Allied Diseases,"1275 York Avenue, New York, NY 10065",Others,"514","538,454","1940",40.764161500000000,-73.958290599999998
"1","1010400",Manhattan,I,"010400","104",MN17,Midtown-Midtown South,"3807",1864600.3750299999956041574478149414063,5693.0363665499999115127138793468475,Manhattan 104,"919","647","22","0","179","14","57","0",Lenox Hill Hospital,"100 East 77th Street, New York, NY 10021",Northwell,"632","775,241","1930",40.773934300000001,-73.963080800000000
"1","1010400",Manhattan,I,"010400","104",MN17,Midtown-Midtown South,"3807",1864600.3750299999956041574478149414063,5693.0363665499999115127138793468475,Manhattan 104,"919","647","22","0","179","14","57","0",Mount Sinai West,"1000 Tenth Avenue, New York, NY 10019",Mount Sinai,"514","1,104,505","1992",40.770002200000000,-73.989668399999999
"1","1011300",Manhattan,I,"011300","113",MN17,Midtown-Midtown South,"3807",1890907.2910199998877942562103271484375,5699.8606411999999181716702878475189,Manhattan 113,"110","17","26","0","62","0","0","5",Bellevue Hospital Center,"462 First Avenue, New York, NY 10016",Health+,"912","2,124,441","1910",40.739088799999998,-73.983771300000001
"1","1011300",Manhattan,I,"011300","113",MN17,Midtown-Midtown South,"3807",1890907.2910199998877942562103271484375,5699.8606411999999181716702878475189,Manhattan 113,"110","17","26","0","62","0","0","5",NYU Langone Hospitals,"550 First Avenue, New York, NY 10016",NYU Langone,"844","1,153,372","1900",40.742126499999998,-73.976152900000002
"1","1011300",Manhattan,I,"011300","113",MN17,Midtown-Midtown South,"3807",1890907.2910199998877942562103271484375,5699.8606411999999181716702878475189,Manhattan 113,"110","17","26","0","62","0","0","5",Mount Sinai West,"1000 Tenth Avenue, New York, NY 10019",Mount Sinai,"514","1,104,505","1992",40.770002200000000,-73.989668399999999
"1","1011402",Manhattan,I,"011402","114.02",MN40,Upper East Side-Carnegie Hill,"3805",1063547.4139000000432133674621582031250,4125.2560293200003798119723796844482,Manhattan 114.02,"1795","1492","9","8","150","0","38","98",Memorial Hospital for Cancer and Allied Diseases,"1275 York Avenue, New York, NY 10065",Others,"514","538,454","1940",40.764161500000000,-73.958290599999998
"1","1013000",Manhattan,I,"013000","130",MN40,Upper East Side-Carnegie Hill,"3805",1918144.5403499999083578586578369140625,5807.9729563800001415074802935123444,Manhattan 130,"3466","3203","13","0","157","0","20","73",Lenox Hill Hospital,"100 East 77th Street, New York, NY 10021",Northwell,"632","775,241","1930",40.773934300000001,-73.963080800000000
"1","1014000",Manhattan,I,"014000","140",MN40,Upper East Side-Carnegie Hill,"3805",1925984.2225200000684708356857299804688,5820.8156402799995703389868140220642,Manhattan 140,"7529","6791","78","0","443","0","49","168",Lenox Hill Hospital,"100 East 77th Street, New York, NY 10021",Northwell,"632","775,241","1930",40.773934300000001,-73.963080800000000
"1","1014801",Manhattan,I,"014801","148.01",MN40,Upper East Side-Carnegie Hill,"3805",559216.1578160000499337911605834960938,3135.9514230499999030143953859806061,Manhattan 148.01,"3135","2672","11","10","267","0","30","145",Metropolitan Hospital Center,"1901 First Avenue, New York, NY 10029",Health+,"338","1,075,000","1967",40.785236800000000,-73.947217699999996
"1","1014801",Manhattan,I,"014801","148.01",MN40,Upper East Side-Carnegie Hill,"3805",559216.1578160000499337911605834960938,3135.9514230499999030143953859806061,Manhattan 148.01,"3135","2672","11","10","267","0","30","145",Lenox Hill Hospital,"100 East 77th Street, New York, NY 10021",Northwell,"632","775,241","1930",40.773934300000001,-73.963080800000000
"1","1018400",Manhattan,E,"018400","184",MN34,East Harlem North,"3804",1903568.3528499999083578586578369140625,5771.8740977099996598553843796253204,Manhattan 184,"7258","1233","3420","70","524","0","1890","121",Henry J. Carter Specialty Hospital,"1752 Park Avenue, New York, NY 10035",Health+,"201","110,245","2013",40.803114999999998,-73.943265999999994
"1","1019000",Manhattan,I,"019000","190",MN11,Central Harlem South,"3803",1117371.6785899999085813760757446289063,4231.8270873499996014288626611232758,Manhattan 190,"3504","758","1992","19","385","0","237","113",Henry J. Carter Specialty Hospital,"1752 Park Avenue, New York, NY 10035",Health+,"201","110,245","2013",40.803114999999998,-73.943265999999994
"1","1020600",Manhattan,E,"020600","206",MN03,Central Harlem North-Polo Grounds,"3803",1602693.8222000000532716512680053710938,5176.8731498500001180218532681465149,Manhattan 206,"3664","756","2219","0","131","0","336","222",Henry J. Carter Specialty Hospital,"1752 Park Avenue, New York, NY 10035",Health+,"201","110,245","2013",40.803114999999998,-73.943265999999994
"1","1020600",Manhattan,E,"020600","206",MN03,Central Harlem North-Polo Grounds,"3803",1602693.8222000000532716512680053710938,5176.8731498500001180218532681465149,Manhattan 206,"3664","756","2219","0","131","0","336","222",Harlem Hospital Center,"506 Lenox Avenue, New York, NY 10037",Health+,"282","1,267,362","1965",40.814232699999998,-73.941798800000001
"3","3007800",Brooklyn,E,"007800","78",BK32,Sunset Park West,"4012",1509791.9895299999043345451354980468750,4986.6715954399996917345561087131500,Brooklyn 78,"5240","2257","326","0","577","0","2044","36",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3007800",Brooklyn,E,"007800","78",BK32,Sunset Park West,"4012",1509791.9895299999043345451354980468750,4986.6715954399996917345561087131500,Brooklyn 78,"5240","2257","326","0","577","0","2044","36",Calvary Hospital,"150 55th Street, Brooklyn, NY 11220",Others,"25","460,000","1931",40.646512999999999,-74.021777400000005
"3","3008000",Brooklyn,E,"008000","80",BK32,Sunset Park West,"4012",1506326.4852700000628829002380371093750,4989.7231028699998205411247909069061,Brooklyn 80,"3746","1893","99","0","284","0","1183","287",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3008000",Brooklyn,E,"008000","80",BK32,Sunset Park West,"4012",1506326.4852700000628829002380371093750,4989.7231028699998205411247909069061,Brooklyn 80,"3746","1893","99","0","284","0","1183","287",Calvary Hospital,"150 55th Street, Brooklyn, NY 11220",Others,"25","460,000","1931",40.646512999999999,-74.021777400000005
"1","1024900",Manhattan,I,"024900","249",MN36,Washington Heights South,"3801",652856.3429649999598041176795959472656,3927.8214695100000426464248448610306,Manhattan 249,"1083","220","357","0","56","0","305","145",New York-Presbyterian Hospital - Columbia Presbyterian Center,"622 West 168th Street, New York, NY 10032",NewYork-Presbyterian,"1022","3,693,539","1930",40.841246599999998,-73.943159300000005
"1","1026100",Manhattan,E,"026100","261",MN36,Washington Heights South,"3801",1681539.0600999998860061168670654296875,5532.0998580400000719237141311168671,Manhattan 261,"13220","3356","1852","477","75","0","6265","1195",New York-Presbyterian Hospital - Columbia Presbyterian Center,"622 West 168th Street, New York, NY 10032",NewYork-Presbyterian,"1022","3,693,539","1930",40.841246599999998,-73.943159300000005
"1","1026300",Manhattan,E,"026300","263",MN36,Washington Heights South,"3801",1691891.9936899999156594276428222656250,5730.5418404100000770995393395423889,Manhattan 263,"9487","2189","1133","57","261","0","5028","819",New York-Presbyterian Hospital - Columbia Presbyterian Center,"622 West 168th Street, New York, NY 10032",NewYork-Presbyterian,"1022","3,693,539","1930",40.841246599999998,-73.943159300000005
"1","1026900",Manhattan,E,"026900","269",MN35,Washington Heights North,"3801",1889655.5483399999793618917465209960938,6017.0367769000004045665264129638672,Manhattan 269,"9073","1850","978","121","260","0","4529","1335",New York-Presbyterian Hospital - Columbia Presbyterian Center,"622 West 168th Street, New York, NY 10032",NewYork-Presbyterian,"1022","3,693,539","1930",40.841246599999998,-73.943159300000005
"1","1026900",Manhattan,E,"026900","269",MN35,Washington Heights North,"3801",1889655.5483399999793618917465209960938,6017.0367769000004045665264129638672,Manhattan 269,"9073","1850","978","121","260","0","4529","1335",BronxCare Hospital Center,"1650 Grand Concourse, Bronx, NY 10457",Mount Sinai,"415","480,769","1941",40.843471500000000,-73.913268500000001
"1","1027700",Manhattan,E,"027700","277",MN35,Washington Heights North,"3801",1760155.9878100000787526369094848632813,5903.1526154900002438807860016822815,Manhattan 277,"6800","2039","1248","107","157","0","2895","354",New York-Presbyterian Hospital - Columbia Presbyterian Center,"622 West 168th Street, New York, NY 10032",NewYork-Presbyterian,"1022","3,693,539","1930",40.841246599999998,-73.943159300000005
"1","1027700",Manhattan,E,"027700","277",MN35,Washington Heights North,"3801",1760155.9878100000787526369094848632813,5903.1526154900002438807860016822815,Manhattan 277,"6800","2039","1248","107","157","0","2895","354",BronxCare Hospital Center,"1650 Grand Concourse, Bronx, NY 10457",Mount Sinai,"415","480,769","1941",40.843471500000000,-73.913268500000001
"1","1027700",Manhattan,E,"027700","277",MN35,Washington Heights North,"3801",1760155.9878100000787526369094848632813,5903.1526154900002438807860016822815,Manhattan 277,"6800","2039","1248","107","157","0","2895","354",New York-Presbyterian Hospital - Allen Hospital,"5141 Broadway, New York, NY 10034",NewYork-Presbyterian,"196","393,924","1988",40.873370299999998,-73.915299099999999
"3","3000501",Brooklyn,I,"000501","5.01",BK09,Brooklyn Heights-Cobble Hill,"4004",901506.9924810000229626893997192382813,4828.1700421499999720253981649875641,Brooklyn 5.01,"4419","3376","208","0","476","10","100","249",NYU Langone Health-Cobble Hill,"83 Amity Street, Brooklyn, NY 11201",NYU Langone,"145","258,000","1900",40.690142500000000,-74.000112799999997
"3","3004100",Brooklyn,I,"004100","41",BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"4004",1744094.4106300000566989183425903320313,5283.8566596900000149616971611976624,Brooklyn 41,"3642","2659","398","0","305","0","165","115",Brooklyn Hospital Center - Downtown Campus,"121 Dekalb Avenue, Brooklyn, NY 11201",SUNY,"464","335,000","1982",40.691268999999998,-73.979962999999998
"3","3005800",Brooklyn,E,"005800","58",BK31,Bay Ridge,"4013",2080303.3113200000952929258346557617188,6098.1678002400003606453537940979004,Brooklyn 58,"3092","2166","53","0","503","0","270","100",NYU Langone Hospital-Brooklyn,"150 55th Street, Brooklyn, NY 11220",NYU Langone,"444","460,000","1931",40.646667399999998,-74.023112200000000
"3","3006000",Brooklyn,I,"006000","60",BK31,Bay Ridge,"4013",1639074.0417500000912696123123168945313,5498.3343872799996461253613233566284,Brooklyn 60,"3054","2214","0","22","470","0","278","70",NYU Langone Hospital-Brooklyn,"150 55th Street, Brooklyn, NY 11220",NYU Langone,"444","460,000","1931",40.646667399999998,-74.023112200000000
"3","3006700",Brooklyn,I,"006700","67",BK33,Carroll Gardens-Columbia Street-Red Hook,"4005",1680804.3410400000866502523422241210938,5236.0479118200000812066718935966492,Brooklyn 67,"3894","3394","76","20","138","0","114","152",NYU Langone Health-Cobble Hill,"83 Amity Street, Brooklyn, NY 11201",NYU Langone,"145","258,000","1900",40.690142500000000,-74.000112799999997
"3","3006900",Brooklyn,I,"006900","69",BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"4004",1927677.5717299999669194221496582031250,5563.9713213400000313413329422473907,Brooklyn 69,"3575","2979","164","0","168","0","135","129",NYU Langone Health-Cobble Hill,"83 Amity Street, Brooklyn, NY 11201",NYU Langone,"145","258,000","1900",40.690142500000000,-74.000112799999997
"3","3006900",Brooklyn,I,"006900","69",BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"4004",1927677.5717299999669194221496582031250,5563.9713213400000313413329422473907,Brooklyn 69,"3575","2979","164","0","168","0","135","129",Brooklyn Hospital Center - Downtown Campus,"121 Dekalb Avenue, Brooklyn, NY 11201",SUNY,"464","335,000","1982",40.691268999999998,-73.979962999999998
"3","3007400",Brooklyn,E,"007400","74",BK32,Sunset Park West,"4012",1516612.9992800001055002212524414062500,4994.5638564999999289284460246562958,Brooklyn 74,"5280","1388","88","29","1370","0","2405","0",Calvary Hospital,"150 55th Street, Brooklyn, NY 11220",Others,"25","460,000","1931",40.646512999999999,-74.021777400000005
"3","3009800",Brooklyn,E,"009800","98",BK34,Sunset Park East,"4012",1625498.6524499999359250068664550781250,5203.9795848800004023360088467597961,Brooklyn 98,"7012","1487","173","0","2765","0","2530","57",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3009800",Brooklyn,E,"009800","98",BK34,Sunset Park East,"4012",1625498.6524499999359250068664550781250,5203.9795848800004023360088467597961,Brooklyn 98,"7012","1487","173","0","2765","0","2530","57",Calvary Hospital,"150 55th Street, Brooklyn, NY 11220",Others,"25","460,000","1931",40.646512999999999,-74.021777400000005
"3","3010100",Brooklyn,I,"010100","101",BK32,Sunset Park West,"4012",3393635.7842899998649954795837402343750,7585.5291331799999170470982789993286,Brooklyn 101,"4057","1551","132","85","528","0","1374","387",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3010100",Brooklyn,I,"010100","101",BK32,Sunset Park West,"4012",3393635.7842899998649954795837402343750,7585.5291331799999170470982789993286,Brooklyn 101,"4057","1551","132","85","528","0","1374","387",New York-Presbyterian Brooklyn Methodist Hospital,"506 Sixth Street, Brooklyn, NY 11215",NewYork-Presbyterian,"591","577,381","1931",40.668331600000002,-73.982023600000005
"3","3010200",Brooklyn,E,"010200","102",BK34,Sunset Park East,"4012",1640687.8387500001117587089538574218750,5223.3784812200001397286541759967804,Brooklyn 102,"5142","854","23","0","3672","0","562","31",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3010200",Brooklyn,E,"010200","102",BK34,Sunset Park East,"4012",1640687.8387500001117587089538574218750,5223.3784812200001397286541759967804,Brooklyn 102,"5142","854","23","0","3672","0","562","31",Calvary Hospital,"150 55th Street, Brooklyn, NY 11220",Others,"25","460,000","1931",40.646512999999999,-74.021777400000005
"3","3010400",Brooklyn,E,"010400","104",BK34,Sunset Park East,"4012",1639390.9212499998975545167922973632813,5221.7916918499995517777279019355774,Brooklyn 104,"5362","489","61","0","4531","0","244","37",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3010800",Brooklyn,E,"010800","108",BK34,Sunset Park East,"4012",1624849.9880399999674409627914428710938,5203.5165998700003910926170647144318,Brooklyn 108,"3795","405","60","0","2852","0","461","17",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3011000",Brooklyn,E,"011000","110",BK34,Sunset Park East,"4012",1699091.8636099998839199542999267578125,5365.0364798299997346475720405578613,Brooklyn 110,"2445","1203","34","0","778","0","349","81",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3011400",Brooklyn,I,"011400","114",BK88,Borough Park,"4014",1806159.3139599999412894248962402343750,5462.2819369700000606826506555080414,Brooklyn 114,"4177","2236","300","0","1274","0","230","137",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3012801",Brooklyn,E,"012801","128.01",BK30,Dyker Heights,"4013",1238338.7201799999456852674484252929688,4828.9839106199997331714257597923279,Brooklyn 128.01,"2279","691","28","0","1492","0","61","7",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3012801",Brooklyn,E,"012801","128.01",BK30,Dyker Heights,"4013",1238338.7201799999456852674484252929688,4828.9839106199997331714257597923279,Brooklyn 128.01,"2279","691","28","0","1492","0","61","7",Calvary Hospital,"150 55th Street, Brooklyn, NY 11220",Others,"25","460,000","1931",40.646512999999999,-74.021777400000005
"3","3013000",Brooklyn,E,"013000","130",BK31,Bay Ridge,"4013",1899181.5269500000867992639541625976563,5648.2365071699996406096033751964569,Brooklyn 130,"5028","2641","216","50","1097","0","610","414",NYU Langone Hospital-Brooklyn,"150 55th Street, Brooklyn, NY 11220",NYU Langone,"444","460,000","1931",40.646667399999998,-74.023112200000000
"3","3013000",Brooklyn,E,"013000","130",BK31,Bay Ridge,"4013",1899181.5269500000867992639541625976563,5648.2365071699996406096033751964569,Brooklyn 130,"5028","2641","216","50","1097","0","610","414",Calvary Hospital,"150 55th Street, Brooklyn, NY 11220",Others,"25","460,000","1931",40.646512999999999,-74.021777400000005
"3","3013200",Brooklyn,E,"013200","132",BK30,Dyker Heights,"4013",1665114.5637499999720603227615356445313,6369.3352789299997311900369822978973,Brooklyn 132,"2200","700","72","0","1161","0","261","6",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3013200",Brooklyn,E,"013200","132",BK30,Dyker Heights,"4013",1665114.5637499999720603227615356445313,6369.3352789299997311900369822978973,Brooklyn 132,"2200","700","72","0","1161","0","261","6",Calvary Hospital,"150 55th Street, Brooklyn, NY 11220",Others,"25","460,000","1931",40.646512999999999,-74.021777400000005
"3","3013300",Brooklyn,I,"013300","133",BK37,Park Slope-Gowanus,"4005",1596011.2198799999896436929702758789063,5175.7032583800000793416984379291534,Brooklyn 133,"4408","3333","197","11","425","0","51","391",New York-Presbyterian Brooklyn Methodist Hospital,"506 Sixth Street, Brooklyn, NY 11215",NewYork-Presbyterian,"591","577,381","1931",40.668331600000002,-73.982023600000005
"3","3013700",Brooklyn,I,"013700","137",BK37,Park Slope-Gowanus,"4005",1638366.0583399999886751174926757812500,5226.6315664200001265271566808223724,Brooklyn 137,"3512","2400","377","0","290","0","210","235",New York-Presbyterian Brooklyn Methodist Hospital,"506 Sixth Street, Brooklyn, NY 11215",NewYork-Presbyterian,"591","577,381","1931",40.668331600000002,-73.982023600000005
"3","3013900",Brooklyn,I,"013900","139",BK37,Park Slope-Gowanus,"4005",1631336.4663400000426918268203735351563,5219.6801801700003125006332993507385,Brooklyn 139,"3420","2414","433","0","227","0","171","175",New York-Presbyterian Brooklyn Methodist Hospital,"506 Sixth Street, Brooklyn, NY 11215",NewYork-Presbyterian,"591","577,381","1931",40.668331600000002,-73.982023600000005
"3","3015100",Brooklyn,I,"015100","151",BK37,Park Slope-Gowanus,"4005",1607114.1263800000306218862533569335938,5175.2216459900000700145028531551361,Brooklyn 151,"4216","3291","127","0","246","0","75","477",New York-Presbyterian Brooklyn Methodist Hospital,"506 Sixth Street, Brooklyn, NY 11215",NewYork-Presbyterian,"591","577,381","1931",40.668331600000002,-73.982023600000005
"3","3015300",Brooklyn,I,"015300","153",BK37,Park Slope-Gowanus,"4005",1619490.3182800000067800283432006835938,5188.3814414400003443006426095962524,Brooklyn 153,"2678","2168","131","0","195","0","80","104",New York-Presbyterian Brooklyn Methodist Hospital,"506 Sixth Street, Brooklyn, NY 11215",NewYork-Presbyterian,"591","577,381","1931",40.668331600000002,-73.982023600000005
"3","3015500",Brooklyn,I,"015500","155",BK37,Park Slope-Gowanus,"4005",1610814.5301900000777095556259155273438,5181.3515160300003117299638688564301,Brooklyn 155,"4028","3162","415","30","177","0","32","212",New York-Presbyterian Brooklyn Methodist Hospital,"506 Sixth Street, Brooklyn, NY 11215",NewYork-Presbyterian,"591","577,381","1931",40.668331600000002,-73.982023600000005
"3","3015700",Brooklyn,I,"015700","157",BK37,Park Slope-Gowanus,"4005",1802056.0472200000658631324768066406250,5427.7045746900002995971590280532837,Brooklyn 157,"4049","3085","301","0","425","0","26","212",New York-Presbyterian Brooklyn Methodist Hospital,"506 Sixth Street, Brooklyn, NY 11215",NewYork-Presbyterian,"591","577,381","1931",40.668331600000002,-73.982023600000005
"5","5029102",Staten Island,I,"029102","291.02",SI05,New Springville-Bloomfield-Travis,"3902",106429275.0530000030994415283203125000000,58467.1083752999984426423907279968262,Staten Island 291.02,"2974","2206","48","0","488","0","190","42",Staten Island University Hosp-South,"375 Seguine Avenue, Staten Island, NY 10309",Northwell,"194","220,420","1967",40.516761899999999,-74.198567800000006
"5","5029102",Staten Island,I,"029102","291.02",SI05,New Springville-Bloomfield-Travis,"3902",106429275.0530000030994415283203125000000,58467.1083752999984426423907279968262,Staten Island 291.02,"2974","2206","48","0","488","0","190","42",Richmond University Medical Center,"355 Bard Avenue, Staten Island, NY 10310",Mount Sinai,"448","538,240","1903",40.635674199999997,-74.108015699999996
"3","3017000",Brooklyn,I,"017000","170",BK27,Bath Beach,"4017",2249706.4714700002223253250122070312500,7327.4271317100001397193409502506256,Brooklyn 170,"3578","1767","59","0","1556","0","196","0",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3017800",Brooklyn,E,"017800","178",BK27,Bath Beach,"4017",1765217.2113300000783056020736694335938,6092.0426893300000301678664982318878,Brooklyn 178,"3215","1297","86","0","1262","11","553","6",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3018600",Brooklyn,I,"018600","186",BK28,Bensonhurst West,"4017",1216850.3559999999124556779861450195313,4679.7297220399996149353682994842529,Brooklyn 186,"2249","1130","0","0","901","0","188","30",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3018800",Brooklyn,I,"018800","188",BK28,Bensonhurst West,"4017",1885932.6317300000227987766265869140625,5864.2897072899995691841468214988708,Brooklyn 188,"2702","1659","7","0","940","0","76","20",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3019000",Brooklyn,E,"019000","190",BK28,Bensonhurst West,"4017",2291793.6053999997675418853759765625000,6614.3189631499999450170435011386871,Brooklyn 190,"4635","1983","65","46","2037","0","504","0",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3019200",Brooklyn,E,"019200","192",BK88,Borough Park,"4014",2042946.4738600000273436307907104492188,5880.3171759300003031967207789421082,Brooklyn 192,"3076","1304","28","24","1425","0","248","47",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3019400",Brooklyn,E,"019400","194",BK30,Dyker Heights,"4013",1920211.7554599998984485864639282226563,6220.2926633899996886611916124820709,Brooklyn 194,"3889","1276","5","0","1969","0","631","8",Maimonides Medical Center,"4802 Tenth Avenue, Brooklyn, NY 11219",Montefiore,"711","184,350","1927",40.639265999999999,-74.000342399999994
"3","3019500",Brooklyn,I,"019500","195",BK69,Clinton Hill,"4004",1475082.7078299999702721834182739257813,4887.7171068099996773526072502136230,Brooklyn 195,"3787","2096","1308","18","173","0","83","109",Brooklyn Hospital Center - Downtown Campus,"121 Dekalb Avenue, Brooklyn, NY 11201",SUNY,"464","335,000","1982",40.691268999999998,-73.979962999999998
