Hospital Name,Addresss,System,Number of Beds, GFA ,Year built,Latitude,Longitude
New York-Presbyterian Hospital - Columbia Presbyterian Center,"622 West 168th Street, New York, NY 10032",NewYork-Presbyterian,1022,"3,693,539",1930,40.8412466,-73.9431593
New York-Presbyterian Hospital - New York Weill Cornell Center,"525 East 68th Street, New York, NY 10021",NewYork-Presbyterian,862,"2,230,742",1956,40.7643356,-73.9564446
New York-Presbyterian/Lower Manhattan Hospital,"170 William Street, New York, NY 10038",NewYork-Presbyterian,180,"301,941",1968,40.7103632,-74.0072917
New York-Presbyterian/Queens,"56-45 Main Street, Flushing, NY 11355",NewYork-Presbyterian,535,"577,654",1957,40.7471238,-73.8275542
North Central Bronx Hospital,"3424 Kossuth Avenue & 210th Street, Bronx, NY 10467",Health+,213,"204,200",1972,40.8804749,-73.8833192
NYU Langone Health-Cobble Hill,"83 Amity Street, Brooklyn, NY 11201",NYU Langone,145,"258,000",1900,40.6901425,-74.0001128
NYU Langone Hospital-Brooklyn,"150 55th Street, Brooklyn, NY 11220",NYU Langone,444,"460,000",1931,40.6466674,-74.0231122
NYU Langone Hospitals,"550 First Avenue, New York, NY 10016",NYU Langone,844,"1,153,372",1900,40.7421265,-73.9761529
NYU Langone Orthopedic Hospital,"301 East 17th Street, New York, NY 10003",NYU Langone,225,"327,933",1978,40.7343574,-73.9851742
Queens Hospital Center,"82-68 164th Street, Jamaica, NY 11432",Health+,269,"1,254,367",1939,40.7171693,-73.8057252
Richmond University Medical Center,"355 Bard Avenue, Staten Island, NY 10310",Mount Sinai,448,"538,240",1903,40.6356742,-74.1080157
Rockefeller University Hospital,"1230 York Avenue, New York, NY 10021",Others,40,"1,200,000",1940,40.7625038,-73.9577278
RUMC-Bayley Seton,"75 Vanderbilt Avenue, Staten Island, NY 10304",Mount Sinai,25,"502,197",1930,40.622619,-74.0776843
SBH Health System,"4422 Third Avenue, Bronx, NY 10457",Others,422,"421,234",1943,40.853918,-73.8925801
St. Johns Episcopal Hospital So Shore,"327 Beach 19th Street, Far Rockaway, NY 11691",Others,257,"119,788",1982,40.598603,-73.7557663
Staten Island University Hosp-North,"475 Seaview Avenue, Staten Island, NY 10305",Northwell,472,"567,517",1978,40.5847127,-74.0883127
Staten Island University Hosp-South,"375 Seguine Avenue, Staten Island, NY 10309",Northwell,194,"220,420",1967,40.5167619,-74.1985678
University Hospital of Brooklyn,"445 Lenox Road, Brooklyn, NY 11203",SUNY,342,"1,061,288",1956,40.6550074,-73.9464406
Woodhull Medical & Mental Health Center,"760 Broadway, Brooklyn, NY 11206",Health+,364,"835,231",1972,40.6996988,-73.9447003
Wyckoff Heights Medical Center,"374 Stockholm Street, Brooklyn, NY 11237",Others,324,"360,000",1931,40.704086,-73.919938
NYU Hospitals Center,"550 First Avenue, New York, NY 10016",NYU Langone,844,"1,153,372",1900,40.7421265,-73.9761529
NYU Lutheran Medical Center,"150 55th Street, Brooklyn, NY 11220",NYU Langone,444,"460,000",1931,40.6466674,-74.0231122
