"","Provider Name","DRG_num","Discharge_Year","Variable","YoY_Change","system"
"45","BELLEVUE HOSPITAL CENTER","470",2017,"Discharges",69.2,"Health+"
"46","BELLEVUE HOSPITAL CENTER","470",2017,"Medicare_Payments",10.6,"Health+"
"47","BELLEVUE HOSPITAL CENTER","470",2017,"Total_Payments",0.8,"Health+"
"48","BELLEVUE HOSPITAL CENTER","470",2017,"Non_Medicare_Payments",-52.2,"Health+"
"49","BELLEVUE HOSPITAL CENTER","871",2015,"Discharges",9.9,"Health+"
"50","BELLEVUE HOSPITAL CENTER","871",2015,"Medicare_Payments",-6.6,"Health+"
"51","BELLEVUE HOSPITAL CENTER","871",2015,"Total_Payments",-5.9,"Health+"
"52","BELLEVUE HOSPITAL CENTER","871",2015,"Non_Medicare_Payments",-1.2,"Health+"
"53","BELLEVUE HOSPITAL CENTER","871",2016,"Discharges",-9,"Health+"
"54","BELLEVUE HOSPITAL CENTER","871",2016,"Medicare_Payments",-9.9,"Health+"
"55","BELLEVUE HOSPITAL CENTER","871",2016,"Total_Payments",-11.8,"Health+"
"56","BELLEVUE HOSPITAL CENTER","871",2016,"Non_Medicare_Payments",-24.3,"Health+"
"57","BELLEVUE HOSPITAL CENTER","871",2017,"Discharges",-21.1,"Health+"
"58","BELLEVUE HOSPITAL CENTER","871",2017,"Medicare_Payments",7.6,"Health+"
"59","BELLEVUE HOSPITAL CENTER","871",2017,"Total_Payments",6.4,"Health+"
"60","BELLEVUE HOSPITAL CENTER","871",2017,"Non_Medicare_Payments",-3,"Health+"
"61","BRONX-LEBANON HOSPITAL CENTER","291",2015,"Discharges",-13,"Mount Sinai"
"62","BRONX-LEBANON HOSPITAL CENTER","291",2015,"Medicare_Payments",-11.3,"Mount Sinai"
"63","BRONX-LEBANON HOSPITAL CENTER","291",2015,"Total_Payments",-8.1,"Mount Sinai"
"64","BRONX-LEBANON HOSPITAL CENTER","291",2015,"Non_Medicare_Payments",31.6,"Mount Sinai"
"65","BRONX-LEBANON HOSPITAL CENTER","291",2016,"Discharges",5,"Mount Sinai"
"66","BRONX-LEBANON HOSPITAL CENTER","291",2016,"Medicare_Payments",-4.4,"Mount Sinai"
"67","BRONX-LEBANON HOSPITAL CENTER","291",2016,"Total_Payments",-5.9,"Mount Sinai"
"68","BRONX-LEBANON HOSPITAL CENTER","291",2016,"Non_Medicare_Payments",-18.2,"Mount Sinai"
"69","BRONX-LEBANON HOSPITAL CENTER","291",2017,"Discharges",104.8,"Mount Sinai"
"70","BRONX-LEBANON HOSPITAL CENTER","291",2017,"Medicare_Payments",3,"Mount Sinai"
"71","BRONX-LEBANON HOSPITAL CENTER","291",2017,"Total_Payments",2.2,"Mount Sinai"
"72","BRONX-LEBANON HOSPITAL CENTER","291",2017,"Non_Medicare_Payments",-5.4,"Mount Sinai"
"73","BRONX-LEBANON HOSPITAL CENTER","312",2015,"Discharges",22.4,"Mount Sinai"
"74","BRONX-LEBANON HOSPITAL CENTER","312",2015,"Medicare_Payments",-15.1,"Mount Sinai"
"75","BRONX-LEBANON HOSPITAL CENTER","312",2015,"Total_Payments",-13.7,"Mount Sinai"
"76","BRONX-LEBANON HOSPITAL CENTER","312",2015,"Non_Medicare_Payments",-1,"Mount Sinai"
"77","BRONX-LEBANON HOSPITAL CENTER","312",2016,"Discharges",-20,"Mount Sinai"
"78","BRONX-LEBANON HOSPITAL CENTER","312",2016,"Medicare_Payments",0.8,"Mount Sinai"
"79","BRONX-LEBANON HOSPITAL CENTER","312",2016,"Total_Payments",-0.5,"Mount Sinai"
"80","BRONX-LEBANON HOSPITAL CENTER","312",2016,"Non_Medicare_Payments",-11.6,"Mount Sinai"
"81","BRONX-LEBANON HOSPITAL CENTER","312",2017,"Discharges",-20.8,"Mount Sinai"
"82","BRONX-LEBANON HOSPITAL CENTER","312",2017,"Medicare_Payments",1.4,"Mount Sinai"
"83","BRONX-LEBANON HOSPITAL CENTER","312",2017,"Total_Payments",1.3,"Mount Sinai"
"84","BRONX-LEBANON HOSPITAL CENTER","312",2017,"Non_Medicare_Payments",-0.1,"Mount Sinai"
"85","BRONX-LEBANON HOSPITAL CENTER","392",2015,"Discharges",-13.6,"Mount Sinai"
"86","BRONX-LEBANON HOSPITAL CENTER","392",2015,"Medicare_Payments",-17.1,"Mount Sinai"
"87","BRONX-LEBANON HOSPITAL CENTER","392",2015,"Total_Payments",-16.7,"Mount Sinai"
"88","BRONX-LEBANON HOSPITAL CENTER","392",2015,"Non_Medicare_Payments",-12.4,"Mount Sinai"
"89","BRONX-LEBANON HOSPITAL CENTER","392",2016,"Discharges",15.8,"Mount Sinai"
"90","BRONX-LEBANON HOSPITAL CENTER","392",2016,"Medicare_Payments",-3.4,"Mount Sinai"
"91","BRONX-LEBANON HOSPITAL CENTER","392",2016,"Total_Payments",-2.4,"Mount Sinai"
"92","BRONX-LEBANON HOSPITAL CENTER","392",2016,"Non_Medicare_Payments",7.1,"Mount Sinai"
"93","BRONX-LEBANON HOSPITAL CENTER","392",2017,"Discharges",-19.7,"Mount Sinai"
"94","BRONX-LEBANON HOSPITAL CENTER","392",2017,"Medicare_Payments",3.8,"Mount Sinai"
"95","BRONX-LEBANON HOSPITAL CENTER","392",2017,"Total_Payments",4,"Mount Sinai"
"96","BRONX-LEBANON HOSPITAL CENTER","392",2017,"Non_Medicare_Payments",5.1,"Mount Sinai"
"97","BRONX-LEBANON HOSPITAL CENTER","470",2015,"Discharges",-4.8,"Mount Sinai"
"98","BRONX-LEBANON HOSPITAL CENTER","470",2015,"Medicare_Payments",-11.3,"Mount Sinai"
"99","BRONX-LEBANON HOSPITAL CENTER","470",2015,"Total_Payments",-11.9,"Mount Sinai"
"100","BRONX-LEBANON HOSPITAL CENTER","470",2015,"Non_Medicare_Payments",-20.7,"Mount Sinai"
"101","BRONX-LEBANON HOSPITAL CENTER","470",2016,"Discharges",-10,"Mount Sinai"
"102","BRONX-LEBANON HOSPITAL CENTER","470",2016,"Medicare_Payments",-1.6,"Mount Sinai"
"103","BRONX-LEBANON HOSPITAL CENTER","470",2016,"Total_Payments",0.1,"Mount Sinai"
"104","BRONX-LEBANON HOSPITAL CENTER","470",2016,"Non_Medicare_Payments",29,"Mount Sinai"
"105","BRONX-LEBANON HOSPITAL CENTER","470",2017,"Discharges",NA,"Mount Sinai"
"106","BRONX-LEBANON HOSPITAL CENTER","470",2017,"Medicare_Payments",NA,"Mount Sinai"
"107","BRONX-LEBANON HOSPITAL CENTER","470",2017,"Total_Payments",NA,"Mount Sinai"
"108","BRONX-LEBANON HOSPITAL CENTER","470",2017,"Non_Medicare_Payments",NA,"Mount Sinai"
"109","BRONX-LEBANON HOSPITAL CENTER","871",2015,"Discharges",7.1,"Mount Sinai"
"110","BRONX-LEBANON HOSPITAL CENTER","871",2015,"Medicare_Payments",-12.8,"Mount Sinai"
"111","BRONX-LEBANON HOSPITAL CENTER","871",2015,"Total_Payments",-12.1,"Mount Sinai"
"112","BRONX-LEBANON HOSPITAL CENTER","871",2015,"Non_Medicare_Payments",-4.5,"Mount Sinai"
"113","BRONX-LEBANON HOSPITAL CENTER","871",2016,"Discharges",-5.6,"Mount Sinai"
"114","BRONX-LEBANON HOSPITAL CENTER","871",2016,"Medicare_Payments",0.6,"Mount Sinai"
"115","BRONX-LEBANON HOSPITAL CENTER","871",2016,"Total_Payments",0.8,"Mount Sinai"
"116","BRONX-LEBANON HOSPITAL CENTER","871",2016,"Non_Medicare_Payments",2.3,"Mount Sinai"
"117","BRONX-LEBANON HOSPITAL CENTER","871",2017,"Discharges",-17.6,"Mount Sinai"
"118","BRONX-LEBANON HOSPITAL CENTER","871",2017,"Medicare_Payments",2.7,"Mount Sinai"
"119","BRONX-LEBANON HOSPITAL CENTER","871",2017,"Total_Payments",3.7,"Mount Sinai"
"120","BRONX-LEBANON HOSPITAL CENTER","871",2017,"Non_Medicare_Payments",14.3,"Mount Sinai"
"121","BROOKDALE HOSPITAL MEDICAL CENTER","291",2015,"Discharges",-2.4,"Others"
"122","BROOKDALE HOSPITAL MEDICAL CENTER","291",2015,"Medicare_Payments",-8.6,"Others"
"123","BROOKDALE HOSPITAL MEDICAL CENTER","291",2015,"Total_Payments",-9.3,"Others"
"124","BROOKDALE HOSPITAL MEDICAL CENTER","291",2015,"Non_Medicare_Payments",-14.1,"Others"
"125","BROOKDALE HOSPITAL MEDICAL CENTER","291",2016,"Discharges",92.5,"Others"
"126","BROOKDALE HOSPITAL MEDICAL CENTER","291",2016,"Medicare_Payments",-4.2,"Others"
"127","BROOKDALE HOSPITAL MEDICAL CENTER","291",2016,"Total_Payments",-4,"Others"
"128","BROOKDALE HOSPITAL MEDICAL CENTER","291",2016,"Non_Medicare_Payments",-2.6,"Others"
"129","BROOKDALE HOSPITAL MEDICAL CENTER","291",2017,"Discharges",23.4,"Others"
"130","BROOKDALE HOSPITAL MEDICAL CENTER","291",2017,"Medicare_Payments",6.6,"Others"
"131","BROOKDALE HOSPITAL MEDICAL CENTER","291",2017,"Total_Payments",6,"Others"
"132","BROOKDALE HOSPITAL MEDICAL CENTER","291",2017,"Non_Medicare_Payments",1.8,"Others"
"133","BROOKDALE HOSPITAL MEDICAL CENTER","312",2015,"Discharges",-48.7,"Others"
"134","BROOKDALE HOSPITAL MEDICAL CENTER","312",2015,"Medicare_Payments",-12.1,"Others"
"135","BROOKDALE HOSPITAL MEDICAL CENTER","312",2015,"Total_Payments",-6.7,"Others"
"136","BROOKDALE HOSPITAL MEDICAL CENTER","312",2015,"Non_Medicare_Payments",25.7,"Others"
"137","BROOKDALE HOSPITAL MEDICAL CENTER","312",2016,"Discharges",-20,"Others"
"138","BROOKDALE HOSPITAL MEDICAL CENTER","312",2016,"Medicare_Payments",-3,"Others"
"139","BROOKDALE HOSPITAL MEDICAL CENTER","312",2016,"Total_Payments",-5.4,"Others"
"140","BROOKDALE HOSPITAL MEDICAL CENTER","312",2016,"Non_Medicare_Payments",-15.1,"Others"
"141","BROOKDALE HOSPITAL MEDICAL CENTER","312",2017,"Discharges",-34.4,"Others"
"142","BROOKDALE HOSPITAL MEDICAL CENTER","312",2017,"Medicare_Payments",9,"Others"
"143","BROOKDALE HOSPITAL MEDICAL CENTER","312",2017,"Total_Payments",7.9,"Others"
"144","BROOKDALE HOSPITAL MEDICAL CENTER","312",2017,"Non_Medicare_Payments",2.7,"Others"
"145","BROOKDALE HOSPITAL MEDICAL CENTER","392",2015,"Discharges",-57.5,"Others"
"146","BROOKDALE HOSPITAL MEDICAL CENTER","392",2015,"Medicare_Payments",-14.7,"Others"
"147","BROOKDALE HOSPITAL MEDICAL CENTER","392",2015,"Total_Payments",-10.7,"Others"
"148","BROOKDALE HOSPITAL MEDICAL CENTER","392",2015,"Non_Medicare_Payments",17.1,"Others"
"149","BROOKDALE HOSPITAL MEDICAL CENTER","392",2016,"Discharges",58.8,"Others"
"150","BROOKDALE HOSPITAL MEDICAL CENTER","392",2016,"Medicare_Payments",-1.9,"Others"
"151","BROOKDALE HOSPITAL MEDICAL CENTER","392",2016,"Total_Payments",-1.8,"Others"
"152","BROOKDALE HOSPITAL MEDICAL CENTER","392",2016,"Non_Medicare_Payments",-1.1,"Others"
"153","BROOKDALE HOSPITAL MEDICAL CENTER","392",2017,"Discharges",-59.3,"Others"
"154","BROOKDALE HOSPITAL MEDICAL CENTER","392",2017,"Medicare_Payments",1.6,"Others"
"155","BROOKDALE HOSPITAL MEDICAL CENTER","392",2017,"Total_Payments",6.4,"Others"
"156","BROOKDALE HOSPITAL MEDICAL CENTER","392",2017,"Non_Medicare_Payments",29.7,"Others"
"157","BROOKDALE HOSPITAL MEDICAL CENTER","470",2015,"Discharges",NA,"Others"
"158","BROOKDALE HOSPITAL MEDICAL CENTER","470",2015,"Medicare_Payments",NA,"Others"
"159","BROOKDALE HOSPITAL MEDICAL CENTER","470",2015,"Total_Payments",NA,"Others"
"160","BROOKDALE HOSPITAL MEDICAL CENTER","470",2015,"Non_Medicare_Payments",NA,"Others"
"161","BROOKDALE HOSPITAL MEDICAL CENTER","470",2016,"Discharges",NA,"Others"
"162","BROOKDALE HOSPITAL MEDICAL CENTER","470",2016,"Medicare_Payments",NA,"Others"
"163","BROOKDALE HOSPITAL MEDICAL CENTER","470",2016,"Total_Payments",NA,"Others"
"164","BROOKDALE HOSPITAL MEDICAL CENTER","470",2016,"Non_Medicare_Payments",NA,"Others"
"165","BROOKDALE HOSPITAL MEDICAL CENTER","470",2017,"Discharges",NA,"Others"
"166","BROOKDALE HOSPITAL MEDICAL CENTER","470",2017,"Medicare_Payments",NA,"Others"
"167","BROOKDALE HOSPITAL MEDICAL CENTER","470",2017,"Total_Payments",NA,"Others"
"168","BROOKDALE HOSPITAL MEDICAL CENTER","470",2017,"Non_Medicare_Payments",NA,"Others"
"169","BROOKDALE HOSPITAL MEDICAL CENTER","871",2015,"Discharges",25.7,"Others"
"170","BROOKDALE HOSPITAL MEDICAL CENTER","871",2015,"Medicare_Payments",-14.4,"Others"
"171","BROOKDALE HOSPITAL MEDICAL CENTER","871",2015,"Total_Payments",-17.3,"Others"
"172","BROOKDALE HOSPITAL MEDICAL CENTER","871",2015,"Non_Medicare_Payments",-36.2,"Others"
"173","BROOKDALE HOSPITAL MEDICAL CENTER","871",2016,"Discharges",-26.8,"Others"
"174","BROOKDALE HOSPITAL MEDICAL CENTER","871",2016,"Medicare_Payments",-3.2,"Others"
"175","BROOKDALE HOSPITAL MEDICAL CENTER","871",2016,"Total_Payments",-2.4,"Others"
"176","BROOKDALE HOSPITAL MEDICAL CENTER","871",2016,"Non_Medicare_Payments",4.7,"Others"
"177","BROOKDALE HOSPITAL MEDICAL CENTER","871",2017,"Discharges",49.5,"Others"
"178","BROOKDALE HOSPITAL MEDICAL CENTER","871",2017,"Medicare_Payments",7.8,"Others"
"179","BROOKDALE HOSPITAL MEDICAL CENTER","871",2017,"Total_Payments",10.2,"Others"
"180","BROOKDALE HOSPITAL MEDICAL CENTER","871",2017,"Non_Medicare_Payments",29.6,"Others"
"181","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2015,"Discharges",20.4,"SUNY"
"182","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2015,"Medicare_Payments",-4.9,"SUNY"
"183","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2015,"Total_Payments",-5.4,"SUNY"
"184","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2015,"Non_Medicare_Payments",-8.4,"SUNY"
"185","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2016,"Discharges",12.3,"SUNY"
"186","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2016,"Medicare_Payments",-3.4,"SUNY"
"187","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2016,"Total_Payments",-6.5,"SUNY"
"188","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2016,"Non_Medicare_Payments",-25.3,"SUNY"
"189","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2017,"Discharges",4.1,"SUNY"
"190","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2017,"Medicare_Payments",-3.4,"SUNY"
"191","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2017,"Total_Payments",-0.8,"SUNY"
"192","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","291",2017,"Non_Medicare_Payments",19.1,"SUNY"
"193","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2015,"Discharges",-33.3,"SUNY"
"194","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2015,"Medicare_Payments",0.7,"SUNY"
"195","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2015,"Total_Payments",0.7,"SUNY"
"196","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2015,"Non_Medicare_Payments",1,"SUNY"
"197","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2016,"Discharges",-7.5,"SUNY"
"198","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2016,"Medicare_Payments",-8.2,"SUNY"
"199","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2016,"Total_Payments",-7.5,"SUNY"
"200","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2016,"Non_Medicare_Payments",-4.5,"SUNY"
"201","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2017,"Discharges",-16.2,"SUNY"
"202","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2017,"Medicare_Payments",0.7,"SUNY"
"203","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2017,"Total_Payments",-3.6,"SUNY"
"204","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","312",2017,"Non_Medicare_Payments",-21.7,"SUNY"
"205","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2015,"Discharges",-42.9,"SUNY"
"206","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2015,"Medicare_Payments",-11.3,"SUNY"
"207","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2015,"Total_Payments",-9.5,"SUNY"
"208","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2015,"Non_Medicare_Payments",-0.6,"SUNY"
"209","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2016,"Discharges",15.6,"SUNY"
"210","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2016,"Medicare_Payments",2.3,"SUNY"
"211","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2016,"Total_Payments",2,"SUNY"
"212","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2016,"Non_Medicare_Payments",0.7,"SUNY"
"213","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2017,"Discharges",5.4,"SUNY"
"214","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2017,"Medicare_Payments",1.2,"SUNY"
"215","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2017,"Total_Payments",-0.1,"SUNY"
"216","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","392",2017,"Non_Medicare_Payments",-5.8,"SUNY"
"217","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2015,"Discharges",-13.2,"SUNY"
"218","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2015,"Medicare_Payments",-3.9,"SUNY"
"219","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2015,"Total_Payments",-2.5,"SUNY"
"220","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2015,"Non_Medicare_Payments",13.3,"SUNY"
"221","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2016,"Discharges",45.5,"SUNY"
"222","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2016,"Medicare_Payments",-3.8,"SUNY"
"223","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2016,"Total_Payments",-3.5,"SUNY"
"224","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2016,"Non_Medicare_Payments",-0.7,"SUNY"
"225","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2017,"Discharges",-10.4,"SUNY"
"226","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2017,"Medicare_Payments",-0.1,"SUNY"
"227","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2017,"Total_Payments",-0.3,"SUNY"
"228","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","470",2017,"Non_Medicare_Payments",-1.3,"SUNY"
"229","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2015,"Discharges",38.6,"SUNY"
"230","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2015,"Medicare_Payments",-5.3,"SUNY"
"231","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2015,"Total_Payments",-5,"SUNY"
"232","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2015,"Non_Medicare_Payments",-3.5,"SUNY"
"233","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2016,"Discharges",6.3,"SUNY"
"234","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2016,"Medicare_Payments",-3.8,"SUNY"
"235","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2016,"Total_Payments",-3.1,"SUNY"
"236","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2016,"Non_Medicare_Payments",1.7,"SUNY"
"237","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2017,"Discharges",-17.3,"SUNY"
"238","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2017,"Medicare_Payments",-0.9,"SUNY"
"239","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2017,"Total_Payments",-2.1,"SUNY"
"240","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","871",2017,"Non_Medicare_Payments",-9.3,"SUNY"
"241","CONEY ISLAND HOSPITAL","291",2015,"Discharges",4.3,"Health+"
"242","CONEY ISLAND HOSPITAL","291",2015,"Medicare_Payments",-16.4,"Health+"
"243","CONEY ISLAND HOSPITAL","291",2015,"Total_Payments",-15,"Health+"
"244","CONEY ISLAND HOSPITAL","291",2015,"Non_Medicare_Payments",-3.9,"Health+"
"245","CONEY ISLAND HOSPITAL","291",2016,"Discharges",23.7,"Health+"
"246","CONEY ISLAND HOSPITAL","291",2016,"Medicare_Payments",6.9,"Health+"
"247","CONEY ISLAND HOSPITAL","291",2016,"Total_Payments",6.2,"Health+"
"248","CONEY ISLAND HOSPITAL","291",2016,"Non_Medicare_Payments",1.2,"Health+"
"249","CONEY ISLAND HOSPITAL","291",2017,"Discharges",50.8,"Health+"
"250","CONEY ISLAND HOSPITAL","291",2017,"Medicare_Payments",-8.3,"Health+"
"251","CONEY ISLAND HOSPITAL","291",2017,"Total_Payments",-10.6,"Health+"
"252","CONEY ISLAND HOSPITAL","291",2017,"Non_Medicare_Payments",-28.8,"Health+"
"253","CONEY ISLAND HOSPITAL","312",2015,"Discharges",-16.6,"Health+"
"254","CONEY ISLAND HOSPITAL","312",2015,"Medicare_Payments",-5.3,"Health+"
"255","CONEY ISLAND HOSPITAL","312",2015,"Total_Payments",-2.4,"Health+"
"256","CONEY ISLAND HOSPITAL","312",2015,"Non_Medicare_Payments",11.7,"Health+"
"257","CONEY ISLAND HOSPITAL","312",2016,"Discharges",-13.5,"Health+"
"258","CONEY ISLAND HOSPITAL","312",2016,"Medicare_Payments",-4.5,"Health+"
"259","CONEY ISLAND HOSPITAL","312",2016,"Total_Payments",-6.7,"Health+"
"260","CONEY ISLAND HOSPITAL","312",2016,"Non_Medicare_Payments",-16,"Health+"
"261","CONEY ISLAND HOSPITAL","312",2017,"Discharges",6.1,"Health+"
"262","CONEY ISLAND HOSPITAL","312",2017,"Medicare_Payments",8.6,"Health+"
