apr_drg_code,facility_name,race,ethnicity,payment_typology_1,apr_severity_of_illness_description,age_group,patients,mean_length_of_stay,mean_total_charges_day,System,area_sqmi,Number of Beds
720,Bellevue Hospital Center,White,Not Span/Hispanic,Private Health Insurance,Extreme,50 to 69,1,13,5782.48,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Private Health Insurance,Major,18 to 29,1,2,8490.51,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Private Health Insurance,Major,50 to 69,1,1,8216.46,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Private Health Insurance,Minor,18 to 29,1,2,7425.55,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Private Health Insurance,Moderate,30 to 49,1,1,8016.3,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Self-Pay,Major,70 or Older,1,4,6074.36,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Self-Pay,Minor,30 to 49,1,5,6141.41,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Self-Pay,Moderate,18 to 29,1,3,6123.33,Health+,0.77,912
720,Bellevue Hospital Center,White,Not Span/Hispanic,Self-Pay,Moderate,30 to 49,1,4,5719.08,Health+,0.77,912
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Extreme,50 to 69,2,12.5,3821.01,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Major,0 to 17,1,8,3111.24,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Extreme,30 to 49,1,20,2736.22,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Extreme,50 to 69,16,8.25,5417.636875,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Extreme,70 or Older,36,9.11111111111111,5074.704722222222,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Major,30 to 49,3,5.666666666666667,4083.32,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Major,50 to 69,13,6.923076923076923,4059.6607692307693,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Major,70 or Older,25,10.2,3604.6432,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Moderate,18 to 29,1,3,4792.95,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Moderate,30 to 49,1,4,2866.89,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Moderate,50 to 69,3,8.666666666666666,2823.48,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Moderate,70 or Older,2,6.5,3111.14,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Extreme,50 to 69,3,18,2649.7599999999998,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Extreme,70 or Older,4,4.5,1780.1725000000001,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,30 to 49,1,8,3545.31,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,50 to 69,2,10.5,3257.625,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,70 or Older,3,7.666666666666667,3366.91,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Moderate,30 to 49,1,6,3289.29,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Not Span/Hispanic,Medicare,Extreme,50 to 69,1,2,8769.48,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Not Span/Hispanic,Medicare,Extreme,70 or Older,1,14,4163.69,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Blue Cross/Blue Shield,Major,18 to 29,1,4,4962.87,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Extreme,30 to 49,2,6.5,8822.265,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Extreme,50 to 69,16,14.9375,3774.271875,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Extreme,70 or Older,12,10.666666666666666,4535.954166666666,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Major,30 to 49,1,14,2802.25,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Major,50 to 69,5,11,3205.988,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Major,70 or Older,14,6.571428571428571,4480.575714285715,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Minor,30 to 49,1,4,3088.33,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Minor,50 to 69,1,3,4298.83,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Moderate,50 to 69,1,7,2996.9,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Moderate,70 or Older,4,4.25,4235.9400000000005,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Private Health Insurance,Extreme,30 to 49,1,15,3640.6,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Private Health Insurance,Extreme,50 to 69,1,2,6965.86,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Private Health Insurance,Extreme,70 or Older,1,2,1064.38,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Private Health Insurance,Major,50 to 69,2,6,4541.655,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Private Health Insurance,Major,70 or Older,1,7,1081.04,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Private Health Insurance,Moderate,30 to 49,1,1,7827.53,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Blue Cross/Blue Shield,Extreme,70 or Older,2,13.5,4480.12,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Extreme,30 to 49,1,14,3140.36,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Extreme,50 to 69,21,20.61904761904762,3801.844285714286,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Extreme,70 or Older,26,11.461538461538462,4556.323076923077,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Major,30 to 49,4,7.75,3877.2275,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Major,50 to 69,18,8.166666666666666,3279.467222222222,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Major,70 or Older,27,8.962962962962964,3538.2248148148146,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Minor,50 to 69,2,4.5,3139.875,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Moderate,70 or Older,5,6.8,3288.39,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Private Health Insurance,Extreme,50 to 69,3,14.333333333333334,3651.4,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Private Health Insurance,Extreme,70 or Older,2,9.5,1113.785,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Private Health Insurance,Major,50 to 69,2,7,2282.09,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Private Health Insurance,Major,70 or Older,1,7,1092.22,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Self-Pay,Moderate,30 to 49,1,7,3536.57,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,White,Not Span/Hispanic,Medicare,Extreme,30 to 49,1,16,3172.37,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,White,Not Span/Hispanic,Medicare,Extreme,50 to 69,3,6.666666666666667,5233.916666666667,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,White,Not Span/Hispanic,Medicare,Extreme,70 or Older,5,11.6,3923.006,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,White,Not Span/Hispanic,Medicare,Major,50 to 69,1,3,5748.17,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,White,Not Span/Hispanic,Medicare,Major,70 or Older,2,3.5,7403.515,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,White,Not Span/Hispanic,Medicare,Moderate,70 or Older,1,4,2931.38,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,White,Not Span/Hispanic,Self-Pay,Major,50 to 69,1,5,4847.45,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,White,Spanish/Hispanic,Medicare,Major,50 to 69,1,4,3408.75,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,White,Spanish/Hispanic,Medicare,Major,70 or Older,1,2,5368.02,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,White,Spanish/Hispanic,Medicare,Moderate,30 to 49,1,8,2919.59,Mount Sinai,2.194,415
720,Bronx-Lebanon Hospital Center - Concourse Division,White,Spanish/Hispanic,Medicare,Moderate,50 to 69,1,27,2598.55,Mount Sinai,2.194,415
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Extreme,50 to 69,1,1,17388.84,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Major,18 to 29,2,6.5,5458.825000000001,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Extreme,30 to 49,2,12,8625.994999999999,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Extreme,50 to 69,26,13.23076923076923,9047.480384615385,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Extreme,70 or Older,88,13.238636363636363,7707.441363636363,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Major,18 to 29,1,13,4420.71,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Major,30 to 49,1,1,10688.51,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Major,50 to 69,11,11.636363636363637,5209.562727272727,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Major,70 or Older,42,9.357142857142858,5492.668333333333,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Moderate,70 or Older,6,4.166666666666667,5652.246666666667,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Extreme,30 to 49,3,26.333333333333332,7749.946666666667,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Extreme,50 to 69,3,21.666666666666668,5727.593333333333,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,30 to 49,1,4,4986.06,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,50 to 69,2,4,4285.405,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,70 or Older,1,1,5859.4,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Moderate,30 to 49,1,4,7006.14,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Moderate,50 to 69,1,4,4142.41,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Self-Pay,Extreme,30 to 49,1,6,13483.11,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Self-Pay,Extreme,50 to 69,1,6,12136.05,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Self-Pay,Major,0 to 17,1,10,11308.44,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Self-Pay,Moderate,0 to 17,1,2,4328.48,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Unknown,Medicare,Extreme,50 to 69,4,5,9838.4975,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Unknown,Medicare,Extreme,70 or Older,19,9.052631578947368,9207.137368421052,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Unknown,Medicare,Major,50 to 69,3,7,5791.753333333333,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Unknown,Medicare,Major,70 or Older,15,8.666666666666666,5316.47,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Unknown,Medicare,Moderate,50 to 69,2,2,5884.965,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Unknown,Private Health Insurance,Major,50 to 69,1,2,13895.5,Others,14.72,530
720,Brookdale Hospital Medical Center,Black/African American,Unknown,Self-Pay,Minor,50 to 69,1,1,4970.59,Others,14.72,530
720,Brookdale Hospital Medical Center,Multi-racial,Spanish/Hispanic,Private Health Insurance,Major,30 to 49,1,3,6819.32,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Not Span/Hispanic,Medicare,Extreme,50 to 69,1,27,8362.31,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Not Span/Hispanic,Medicare,Extreme,70 or Older,2,16.5,5519.415000000001,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Not Span/Hispanic,Medicare,Major,70 or Older,2,6.5,5392.955,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Not Span/Hispanic,Medicare,Moderate,70 or Older,1,3,5011.52,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Extreme,50 to 69,7,18,7407.392857142857,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Extreme,70 or Older,14,13,7762.036428571429,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Major,50 to 69,5,8.8,4947.914,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Major,70 or Older,7,4.571428571428571,6273.145714285714,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Minor,70 or Older,1,2,4590.7,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Moderate,50 to 69,1,7,4922.72,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Private Health Insurance,Extreme,70 or Older,1,2,10537.76,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Self-Pay,Major,18 to 29,1,3,4967,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Unknown,Blue Cross/Blue Shield,Extreme,50 to 69,1,16,5595.45,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Unknown,Blue Cross/Blue Shield,Moderate,50 to 69,1,6,5604.92,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Unknown,Medicare,Extreme,50 to 69,1,7,7192.18,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Unknown,Medicare,Extreme,70 or Older,6,14.666666666666666,7934.818333333334,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Unknown,Medicare,Major,30 to 49,1,4,9154.72,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Unknown,Medicare,Major,70 or Older,4,4,6058.425,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Unknown,Medicare,Moderate,50 to 69,1,3,6235.12,Others,14.72,530
720,Brookdale Hospital Medical Center,Other Race,Unknown,Private Health Insurance,Extreme,50 to 69,1,8,6068.38,Others,14.72,530
720,Brookdale Hospital Medical Center,White,Not Span/Hispanic,Medicare,Extreme,30 to 49,1,8,7779.27,Others,14.72,530
