apr_drg_code,facility_name,payment_typology_1,apr_severity_of_illness,patients,mean_length_of_stay,mean_total_charges_day,System,area_sqmi,Number of Beds
720,Harlem Hospital Center,Self-Pay,Extreme,3,5,8620.32,Health+,1.517,282
720,Harlem Hospital Center,Self-Pay,Major,3,39.66666667,6112.89,Health+,1.517,282
720,Harlem Hospital Center,Self-Pay,Minor,5,4.2,6295.816,Health+,1.517,282
720,Harlem Hospital Center,Self-Pay,Moderate,6,6.166666667,6183.756667,Health+,1.517,282
720,Interfaith Medical Center,Blue Cross/Blue Shield,Major,5,7.4,6432.368,Others,2.895,287
720,Interfaith Medical Center,Blue Cross/Blue Shield,Minor,2,3.5,4656.67,Others,2.895,287
720,Interfaith Medical Center,Blue Cross/Blue Shield,Moderate,3,3.666666667,6597.326667,Others,2.895,287
720,Interfaith Medical Center,Medicare,Extreme,32,16.75,9378.85875,Others,2.895,287
720,Interfaith Medical Center,Medicare,Major,38,8.210526316,6262.516316,Others,2.895,287
720,Interfaith Medical Center,Medicare,Minor,1,3,6310.93,Others,2.895,287
720,Interfaith Medical Center,Medicare,Moderate,11,7.363636364,5971.932727,Others,2.895,287
720,Interfaith Medical Center,Private Health Insurance,Major,4,6.25,6704.76,Others,2.895,287
720,Interfaith Medical Center,Private Health Insurance,Minor,2,2,5949.555,Others,2.895,287
720,Interfaith Medical Center,Private Health Insurance,Moderate,6,2.333333333,6714.058333,Others,2.895,287
720,Interfaith Medical Center,Self-Pay,Extreme,1,19,6538.41,Others,2.895,287
720,Interfaith Medical Center,Self-Pay,Major,3,4.666666667,5970.973333,Others,2.895,287
720,Interfaith Medical Center,Self-Pay,Moderate,5,2.4,6995.886,Others,2.895,287
720,Jacobi Medical Center,Blue Cross/Blue Shield,Extreme,3,18.66666667,8472.963333,Health+,7.016,457
720,Jacobi Medical Center,Blue Cross/Blue Shield,Moderate,3,2.333333333,6930.016667,Health+,7.016,457
720,Jacobi Medical Center,Medicare,Extreme,136,14.44117647,7125.397132,Health+,7.016,457
720,Jacobi Medical Center,Medicare,Major,101,9.524752475,6280.916436,Health+,7.016,457
720,Jacobi Medical Center,Medicare,Moderate,33,5.848484848,6632.002121,Health+,7.016,457
720,Jacobi Medical Center,Private Health Insurance,Extreme,3,5.333333333,9936.343333,Health+,7.016,457
720,Jacobi Medical Center,Private Health Insurance,Major,7,6.285714286,6408.84,Health+,7.016,457
720,Jacobi Medical Center,Private Health Insurance,Minor,1,3,8004.41,Health+,7.016,457
720,Jacobi Medical Center,Private Health Insurance,Moderate,4,4.25,6504.3,Health+,7.016,457
720,Jacobi Medical Center,Self-Pay,Extreme,12,14,6979.233333,Health+,7.016,457
720,Jacobi Medical Center,Self-Pay,Major,9,6.222222222,6654.607778,Health+,7.016,457
720,Jacobi Medical Center,Self-Pay,Minor,3,2.333333333,7206.836667,Health+,7.016,457
720,Jacobi Medical Center,Self-Pay,Moderate,7,5.571428571,6616.07,Health+,7.016,457
720,Jamaica Hospital Medical Center,Blue Cross/Blue Shield,Extreme,8,12,11318.98125,Others,19.28,402
720,Jamaica Hospital Medical Center,Blue Cross/Blue Shield,Major,11,6.090909091,5168.88,Others,19.28,402
720,Jamaica Hospital Medical Center,Blue Cross/Blue Shield,Minor,3,7.666666667,5059.593333,Others,19.28,402
720,Jamaica Hospital Medical Center,Blue Cross/Blue Shield,Moderate,8,4.25,4491.045,Others,19.28,402
720,Jamaica Hospital Medical Center,Medicare,Extreme,134,9.059701493,7648.102388,Others,19.28,402
720,Jamaica Hospital Medical Center,Medicare,Major,151,7.125827815,5144.109801,Others,19.28,402
720,Jamaica Hospital Medical Center,Medicare,Minor,4,2.5,4123.725,Others,19.28,402
720,Jamaica Hospital Medical Center,Medicare,Moderate,64,5.234375,4357.562969,Others,19.28,402
720,Jamaica Hospital Medical Center,Private Health Insurance,Extreme,9,9.333333333,9254.407778,Others,19.28,402
720,Jamaica Hospital Medical Center,Private Health Insurance,Major,17,5.470588235,6406.409412,Others,19.28,402
720,Jamaica Hospital Medical Center,Private Health Insurance,Minor,3,2.333333333,3986.666667,Others,19.28,402
720,Jamaica Hospital Medical Center,Private Health Insurance,Moderate,9,4.222222222,4421.901111,Others,19.28,402
720,Jamaica Hospital Medical Center,Self-Pay,Extreme,1,3,4711.33,Others,19.28,402
720,Jamaica Hospital Medical Center,Self-Pay,Major,9,5.444444444,5228.578889,Others,19.28,402
720,Jamaica Hospital Medical Center,Self-Pay,Minor,4,4.25,4051.8825,Others,19.28,402
720,Jamaica Hospital Medical Center,Self-Pay,Moderate,4,3.25,5014.91,Others,19.28,402
720,Kings County Hospital Center,Blue Cross/Blue Shield,Extreme,4,15.25,7014.5475,Health+,1.44,639
720,Kings County Hospital Center,Blue Cross/Blue Shield,Major,9,15.77777778,5796.308889,Health+,1.44,639
720,Kings County Hospital Center,Blue Cross/Blue Shield,Minor,1,2,7023.12,Health+,1.44,639
720,Kings County Hospital Center,Blue Cross/Blue Shield,Moderate,6,4.833333333,6464.28,Health+,1.44,639
720,Kings County Hospital Center,Medicare,Extreme,63,13.44444444,7039.142063,Health+,1.44,639
720,Kings County Hospital Center,Medicare,Major,119,10.78151261,6379.44437,Health+,1.44,639
720,Kings County Hospital Center,Medicare,Minor,4,4,7182.77,Health+,1.44,639
720,Kings County Hospital Center,Medicare,Moderate,47,7.042553191,6431.688723,Health+,1.44,639
720,Kings County Hospital Center,Private Health Insurance,Extreme,1,5,5947.14,Health+,1.44,639
720,Kings County Hospital Center,Private Health Insurance,Major,10,8.3,6475.342,Health+,1.44,639
720,Kings County Hospital Center,Private Health Insurance,Minor,2,3.5,6176.97,Health+,1.44,639
720,Kings County Hospital Center,Private Health Insurance,Moderate,4,2.25,7678.9975,Health+,1.44,639
720,Kings County Hospital Center,Self-Pay,Extreme,3,12.33333333,11810.17,Health+,1.44,639
720,Kings County Hospital Center,Self-Pay,Major,8,8,6772.47625,Health+,1.44,639
720,Kings County Hospital Center,Self-Pay,Minor,3,3.666666667,7306.323333,Health+,1.44,639
720,Kings County Hospital Center,Self-Pay,Moderate,10,5.8,6928.263,Health+,1.44,639
720,Kingsbrook Jewish Medical Center,Blue Cross/Blue Shield,Extreme,6,8.166666667,12134.82333,SUNY,1.66,303
720,Kingsbrook Jewish Medical Center,Blue Cross/Blue Shield,Major,4,7.25,9543.125,SUNY,1.66,303
720,Kingsbrook Jewish Medical Center,Blue Cross/Blue Shield,Moderate,3,5.666666667,7780.866667,SUNY,1.66,303
720,Kingsbrook Jewish Medical Center,Medicare,Extreme,173,10.99421965,13292.84832,SUNY,1.66,303
720,Kingsbrook Jewish Medical Center,Medicare,Major,96,8.645833333,9033.789167,SUNY,1.66,303
720,Kingsbrook Jewish Medical Center,Medicare,Moderate,29,7.275862069,7515.481034,SUNY,1.66,303
720,Kingsbrook Jewish Medical Center,Private Health Insurance,Extreme,5,9.2,10938.25,SUNY,1.66,303
720,Kingsbrook Jewish Medical Center,Private Health Insurance,Major,4,14.25,7810.2575,SUNY,1.66,303
720,Kingsbrook Jewish Medical Center,Private Health Insurance,Minor,1,5,8925.8,SUNY,1.66,303
720,Lenox Hill Hospital,Blue Cross/Blue Shield,Extreme,4,9.5,16499.51,Northwell,1.582,632
720,Lenox Hill Hospital,Blue Cross/Blue Shield,Major,24,4.166666667,14652.25667,Northwell,1.582,632
720,Lenox Hill Hospital,Blue Cross/Blue Shield,Minor,5,2.4,15494.184,Northwell,1.582,632
720,Lenox Hill Hospital,Blue Cross/Blue Shield,Moderate,40,3.35,14398.86225,Northwell,1.582,632
720,Lenox Hill Hospital,Medicare,Extreme,139,9.928057554,15447.71597,Northwell,1.582,632
720,Lenox Hill Hospital,Medicare,Major,340,5.644117647,13847.86676,Northwell,1.582,632
720,Lenox Hill Hospital,Medicare,Minor,8,2.875,13829.95875,Northwell,1.582,632
720,Lenox Hill Hospital,Medicare,Moderate,149,3.731543624,14068.68195,Northwell,1.582,632
720,Lenox Hill Hospital,Private Health Insurance,Extreme,14,9.857142857,20153.96857,Northwell,1.582,632
720,Lenox Hill Hospital,Private Health Insurance,Major,53,4.490566038,16560.41717,Northwell,1.582,632
720,Lenox Hill Hospital,Private Health Insurance,Minor,20,1.75,16470.9785,Northwell,1.582,632
720,Lenox Hill Hospital,Private Health Insurance,Moderate,58,3.068965517,14422.49241,Northwell,1.582,632
720,Lenox Hill Hospital,Self-Pay,Major,1,1,22384.49,Northwell,1.582,632
720,Lincoln Medical & Mental Health Center,Blue Cross/Blue Shield,Extreme,4,22.5,6479.8225,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Blue Cross/Blue Shield,Major,2,4.5,6266.61,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Blue Cross/Blue Shield,Moderate,2,11.5,5195.9,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Medicare,Extreme,66,12.15151515,6508.447879,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Medicare,Major,38,4.631578947,6109.777895,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Medicare,Minor,1,2,6552.02,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Medicare,Moderate,15,3.533333333,6472.504667,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Private Health Insurance,Extreme,6,6.166666667,7344.99,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Private Health Insurance,Major,3,4.333333333,6495.776667,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Private Health Insurance,Moderate,5,2.8,6874.09,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Self-Pay,Extreme,2,7.5,7322.39,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Self-Pay,Major,5,5.8,6284.428,Health+,2.933,362
720,Lincoln Medical & Mental Health Center,Self-Pay,Moderate,2,6,5650.505,Health+,2.933,362
720,Long Island Jewish Forest Hills,Blue Cross/Blue Shield,Extreme,11,11.90909091,15566.26273,Northwell,9.076,312
720,Long Island Jewish Forest Hills,Blue Cross/Blue Shield,Major,17,5.705882353,12526.98235,Northwell,9.076,312
720,Long Island Jewish Forest Hills,Blue Cross/Blue Shield,Minor,3,2,14337.53,Northwell,9.076,312
720,Long Island Jewish Forest Hills,Blue Cross/Blue Shield,Moderate,16,4.4375,11651.51938,Northwell,9.076,312
720,Long Island Jewish Forest Hills,Medicare,Extreme,245,9.114285714,13873.02857,Northwell,9.076,312
720,Long Island Jewish Forest Hills,Medicare,Major,286,7.167832168,10938.26444,Northwell,9.076,312
720,Long Island Jewish Forest Hills,Medicare,Minor,4,4.25,10521.615,Northwell,9.076,312
720,Long Island Jewish Forest Hills,Medicare,Moderate,105,4.752380952,10617.69276,Northwell,9.076,312
720,Long Island Jewish Forest Hills,Private Health Insurance,Extreme,14,7.5,17956.68143,Northwell,9.076,312
720,Long Island Jewish Forest Hills,Private Health Insurance,Major,21,4.333333333,12694.64095,Northwell,9.076,312
720,Long Island Jewish Forest Hills,Private Health Insurance,Minor,7,3.142857143,10587.33,Northwell,9.076,312
720,Long Island Jewish Forest Hills,Private Health Insurance,Moderate,33,4.272727273,11852.44545,Northwell,9.076,312
720,Long Island Jewish Medical Center,Blue Cross/Blue Shield,Extreme,21,10.61904762,13772.48667,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Blue Cross/Blue Shield,Major,52,5.5,11792.36981,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Blue Cross/Blue Shield,Minor,13,3.230769231,11300.99308,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Blue Cross/Blue Shield,Moderate,46,4.347826087,11256.72804,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Medicare,Extreme,378,10.08465608,12279.59376,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Medicare,Major,508,7.405511811,10802.22156,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Medicare,Minor,17,3.882352941,10704.30176,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Medicare,Moderate,222,4.671171171,10808.45887,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Private Health Insurance,Extreme,21,13.95238095,12503.40333,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Private Health Insurance,Major,60,5.65,13024.12467,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Private Health Insurance,Minor,23,3.434782609,11952.91304,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Private Health Insurance,Moderate,68,3.926470588,11825.51794,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Self-Pay,Extreme,3,5.666666667,19666.35333,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Self-Pay,Major,1,4,11007.44,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Self-Pay,Minor,2,2.5,11185.04,Northwell,13.07,1025
720,Long Island Jewish Medical Center,Self-Pay,Moderate,6,7.5,11137.245,Northwell,13.07,1025
720,Maimonides Medical Center,Blue Cross/Blue Shield,Extreme,19,9,15326.18421,Montefiore,7.482,711
720,Maimonides Medical Center,Blue Cross/Blue Shield,Major,23,6.086956522,9822.178696,Montefiore,7.482,711
720,Maimonides Medical Center,Blue Cross/Blue Shield,Minor,1,2,10974.5,Montefiore,7.482,711
720,Maimonides Medical Center,Blue Cross/Blue Shield,Moderate,11,3.272727273,8598.295455,Montefiore,7.482,711
720,Maimonides Medical Center,Medicare,Extreme,731,10.20656635,11900.8206,Montefiore,7.482,711
720,Maimonides Medical Center,Medicare,Major,458,6.019650655,9190.860131,Montefiore,7.482,711
720,Maimonides Medical Center,Medicare,Minor,13,2.615384615,8216.012308,Montefiore,7.482,711
720,Maimonides Medical Center,Medicare,Moderate,209,4.540669856,7850.18823,Montefiore,7.482,711
720,Maimonides Medical Center,Private Health Insurance,Extreme,35,14.31428571,10709.03543,Montefiore,7.482,711
720,Maimonides Medical Center,Private Health Insurance,Major,24,6.416666667,10564.91542,Montefiore,7.482,711
720,Maimonides Medical Center,Private Health Insurance,Minor,5,4.2,7276.826,Montefiore,7.482,711
720,Maimonides Medical Center,Private Health Insurance,Moderate,21,2.904761905,7811.19381,Montefiore,7.482,711
720,Maimonides Medical Center,Self-Pay,Extreme,6,11,12670.94,Montefiore,7.482,711
720,Maimonides Medical Center,Self-Pay,Major,1,7,9970.29,Montefiore,7.482,711
720,Maimonides Medical Center,Self-Pay,Minor,3,2.666666667,6632.666667,Montefiore,7.482,711
720,Maimonides Medical Center,Self-Pay,Moderate,5,4.8,7961.724,Montefiore,7.482,711
720,Memorial Hospital for Cancer and Allied Diseases,Blue Cross/Blue Shield,Extreme,39,12.38461538,13674.36128,Others,0.382,514
720,Memorial Hospital for Cancer and Allied Diseases,Blue Cross/Blue Shield,Major,44,5.659090909,12479.56295,Others,0.382,514
720,Memorial Hospital for Cancer and Allied Diseases,Blue Cross/Blue Shield,Moderate,1,5,9400.49,Others,0.382,514
720,Memorial Hospital for Cancer and Allied Diseases,Medicare,Extreme,90,11.96666667,14629.14656,Others,0.382,514
720,Memorial Hospital for Cancer and Allied Diseases,Medicare,Major,85,7.729411765,12565.64776,Others,0.382,514
720,Memorial Hospital for Cancer and Allied Diseases,Medicare,Moderate,19,3.947368421,10587.27579,Others,0.382,514
720,Memorial Hospital for Cancer and Allied Diseases,Private Health Insurance,Extreme,40,14.05,14746.42225,Others,0.382,514
720,Memorial Hospital for Cancer and Allied Diseases,Private Health Insurance,Major,37,6.810810811,11286.52541,Others,0.382,514
720,Memorial Hospital for Cancer and Allied Diseases,Private Health Insurance,Moderate,7,3.142857143,13616.66571,Others,0.382,514
720,Memorial Hospital for Cancer and Allied Diseases,Self-Pay,Extreme,1,19,9956.73,Others,0.382,514
720,Metropolitan Hospital Center,Blue Cross/Blue Shield,Minor,1,2,6610.47,Health+,1.074,338
720,Metropolitan Hospital Center,Medicare,Extreme,34,14,6541.210294,Health+,1.074,338
720,Metropolitan Hospital Center,Medicare,Major,22,5.772727273,6801.590909,Health+,1.074,338
720,Metropolitan Hospital Center,Medicare,Minor,1,5,6327.42,Health+,1.074,338
720,Metropolitan Hospital Center,Medicare,Moderate,13,7.230769231,6234.969231,Health+,1.074,338
720,Metropolitan Hospital Center,Private Health Insurance,Extreme,2,9,6951.52,Health+,1.074,338
720,Metropolitan Hospital Center,Private Health Insurance,Major,2,4,6892,Health+,1.074,338
720,Metropolitan Hospital Center,Self-Pay,Major,1,3,8339.9,Health+,1.074,338
720,Metropolitan Hospital Center,Self-Pay,Minor,1,2,6889.43,Health+,1.074,338
720,Metropolitan Hospital Center,Self-Pay,Moderate,1,3,6013.58,Health+,1.074,338
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Blue Cross/Blue Shield,Extreme,15,14.73333333,14634.31933,Montefiore,0.449,421
720,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Blue Cross/Blue Shield,Major,12,5.666666667,12654.33417,Montefiore,0.449,421
