"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"1400000US36005002701","Census Tract 27.01, Bronx County, New York","2868","301","243","140","987","276","0","12","0","12","0","12","1603","316","35","30","28","32","7","12"
"1400000US36005006500","Census Tract 65, Bronx County, New York","5312","564","968","468","1845","449","0","17","103","116","0","17","2150","466","246","226","228","222","18","20"
"1400000US36005015700","Census Tract 157, Bronx County, New York","4427","459","607","275","1011","324","0","12","109","144","0","12","2650","568","50","57","37","53","13","20"
"1400000US36005000100","Census Tract 1, Bronx County, New York","7080","290","1773","248","4239","286","25","24","125","51","0","17","850","172","68","42","0","17","68","42"
"1400000US36005006700","Census Tract 67, Bronx County, New York","7256","703","471","375","2269","725","0","17","0","17","96","129","4225","840","195","164","99","96","96","137"
"1400000US36005040702","Census Tract 407.02, Bronx County, New York","6891","660","1514","545","870","285","7","15","295","163","0","17","3899","851","306","196","61","76","245","195"
"1400000US36005038000","Census Tract 380, Bronx County, New York","5378","773","371","165","4223","688","0","17","117","122","0","17","611","460","56","79","46","76","10","18"
"1400000US36005002500","Census Tract 25, Bronx County, New York","5887","553","903","310","1344","270","22","35","50","69","20","35","3389","683","159","113","131","110","28","33"
"1400000US36005006100","Census Tract 61, Bronx County, New York","3697","407","255","138","2766","462","0","12","17","27","0","12","545","306","114","90","0","12","114","90"
"1400000US36005022701","Census Tract 227.01, Bronx County, New York","5194","467","604","263","2107","472","32","51","102","105","0","17","2224","400","125","104","66","58","59","83"
"1400000US36005007900","Census Tract 79, Bronx County, New York","7054","705","633","319","2361","518","0","17","0","17","54","84","3889","882","117","85","33","39","84","75"
"1400000US36005016700","Census Tract 167, Bronx County, New York","3625","475","410","161","1929","405","18","28","0","12","0","12","1127","347","141","88","80","73","61","43"
"1400000US36005022401","Census Tract 224.01, Bronx County, New York","2637","314","403","142","508","218","0","12","143","111","0","12","1511","375","72","60","38","34","34","44"
"1400000US36005002800","Census Tract 28, Bronx County, New York","5269","578","675","455","3674","708","0","17","29","44","0","17","592","433","299","198","0","17","299","198"
"1400000US36005015800","Census Tract 158, Bronx County, New York","1082","216","483","114","70","79","0","12","30","32","0","12","412","192","87","79","27","42","60","69"
"1400000US36005021800","Census Tract 218, Bronx County, New York","7017","834","1227","429","2553","816","0","17","166","154","0","17","3037","685","34","39","0","17","34","39"
"1400000US36005033800","Census Tract 338, Bronx County, New York","4176","472","696","244","1628","489","44","61","340","149","0","12","1299","469","169","140","26","44","143","134"
"1400000US36005036502","Census Tract 365.02, Bronx County, New York","2328","351","239","116","764","206","0","12","0","12","0","12","1290","306","35","41","16","17","19","25"
"1400000US36005007200","Census Tract 72, Bronx County, New York","5891","738","901","406","742","292","83","120","1893","647","0","17","1702","544","570","333","127","104","443","322"
"1400000US36005012101","Census Tract 121.01, Bronx County, New York","2906","283","432","169","961","195","5","8","30","46","0","12","1324","327","154","131","37","40","117","124"
"1400000US36005012102","Census Tract 121.02, Bronx County, New York","1509","190","241","101","288","168","0","12","0","12","0","12","906","225","74","57","47","42","27","36"
"1400000US36005012300","Census Tract 123, Bronx County, New York","4095","518","308","134","1414","372","4","8","35","37","0","12","2134","563","200","124","117","95","83","83"
"1400000US36005013300","Census Tract 133, Bronx County, New York","5995","561","798","323","2433","633","109","140","229","263","0","17","2312","573","114","94","83","82","31","50"
"1400000US36005014300","Census Tract 143, Bronx County, New York","1399","235","61","37","945","272","39","37","0","12","0","12","337","150","17","19","0","12","17","19"
"1400000US36005014400","Census Tract 144, Bronx County, New York","5513","770","1413","466","2214","562","0","17","222","225","0","17","1488","619","176","129","86","74","90","111"
"1400000US36005021301","Census Tract 213.01, Bronx County, New York","1361","143","191","93","321","139","38","57","0","12","13","21","781","166","17","26","17","26","0","12"
"1400000US36005014500","Census Tract 145, Bronx County, New York","8004","1059","507","231","3803","887","46","70","6","12","0","17","3396","1054","246","176","87","82","159","147"
"1400000US36005016600","Census Tract 166, Bronx County, New York","2364","244","1162","236","249","146","0","12","120","80","0","12","689","235","144","110","11","18","133","109"
"1400000US36005019400","Census Tract 194, Bronx County, New York","2334","228","869","273","239","132","51","67","69","68","3","14","931","263","172","138","0","12","172","138"
"1400000US36005022901","Census Tract 229.01, Bronx County, New York","5866","460","683","285","2833","585","36","52","65","43","27","46","1908","444","314","179","110","116","204","140"
"1400000US36005013200","Census Tract 132, Bronx County, New York","7191","650","3946","587","1921","862","0","17","139","129","0","17","1185","558","0","17","0","17","0","17"
"1400000US36005020100","Census Tract 201, Bronx County, New York","4254","363","563","280","1587","387","0","12","18","27","0","12","2005","390","81","87","33","38","48","75"
"1400000US36005008900","Census Tract 89, Bronx County, New York","3200","253","306","181","842","267","48","79","4","60","0","12","1886","342","114","110","46","76","68","77"
"1400000US36005009800","Census Tract 98, Bronx County, New York","4824","526","2079","423","1428","462","0","12","238","218","0","12","975","361","104","71","56","61","48","40"
"1400000US36005012500","Census Tract 125, Bronx County, New York","4195","363","383","232","1455","303","25","45","119","108","0","12","1973","373","240","158","103","111","137","113"
"1400000US36005014900","Census Tract 149, Bronx County, New York","4769","455","637","323","1752","323","0","12","0","12","0","12","2103","509","277","184","134","128","143","127"
"1400000US36005019700","Census Tract 197, Bronx County, New York","7165","733","973","456","1779","441","56","90","470","179","0","17","3761","889","126","114","35","43","91","108"
"1400000US36005022000","Census Tract 220, Bronx County, New York","2243","361","240","161","545","195","0","12","175","151","1","5","1248","276","34","26","19","23","15","23"
"1400000US36005022702","Census Tract 227.02, Bronx County, New York","1617","149","250","115","394","128","24","32","92","87","0","12","838","148","19","13","14","12","5","8"
"1400000US36005023100","Census Tract 231, Bronx County, New York","1602","198","453","189","686","117","0","12","0","12","0","12","459","148","4","7","4","7","0","12"
"1400000US36005023501","Census Tract 235.01, Bronx County, New York","3182","360","518","254","270","150","9","15","17","19","0","12","2316","463","52","63","48","63","4","7"
"1400000US36005001600","Census Tract 16, Bronx County, New York","5917","461","2406","483","2434","451","0","17","13","19","0","17","907","346","157","115","113","94","44","51"
"1400000US36005002400","Census Tract 24, Bronx County, New York","172","247","69","111","89","146","0","12","0","12","0","12","0","12","14","20","0","12","14","20"
"1400000US36005003100","Census Tract 31, Bronx County, New York","1703","242","367","131","510","165","0","12","35","35","0","12","701","216","90","64","19","31","71","56"
"1400000US36005003800","Census Tract 38, Bronx County, New York","1434","201","794","196","495","159","6","9","7","12","0","12","132","147","0","12","0","12","0","12"
"1400000US36005004100","Census Tract 41, Bronx County, New York","5517","618","715","295","1385","499","0","17","41","60","0","17","3118","601","258","250","202","249","56","78"
"1400000US36005011900","Census Tract 119, Bronx County, New York","5557","511","702","262","1622","451","37","45","32","38","0","17","2964","504","200","113","45","44","155","110"
"1400000US36005011502","Census Tract 115.02, Bronx County, New York","4437","468","328","157","1899","458","0","12","9","15","43","92","1929","416","229","154","88","90","141","171"
"1400000US36005014100","Census Tract 141, Bronx County, New York","5865","525","479","182","2677","336","28","36","14","22","0","17","2478","506","189","93","34","45","155","80"
"1400000US36005015100","Census Tract 151, Bronx County, New York","5029","488","431","165","2436","460","0","17","0","17","0","17","2050","447","112","76","52","56","60","48"
"1400000US36005015300","Census Tract 153, Bronx County, New York","4885","460","190","111","2784","500","0","12","111","122","0","12","1705","418","95","84","95","84","0","12"
"1400000US36005015500","Census Tract 155, Bronx County, New York","2884","313","221","145","704","289","0","12","59","48","0","12","1806","302","94","64","49","47","45","44"
"1400000US36005023600","Census Tract 236, Bronx County, New York","1904","253","734","222","245","124","0","12","110","84","0","12","727","237","88","88","61","79","27","37"
"1400000US36005024300","Census Tract 243, Bronx County, New York","5630","450","453","177","1768","389","52","83","58","72","0","17","3249","568","50","52","13","21","37","45"
"1400000US36005004400","Census Tract 44, Bronx County, New York","4607","395","567","252","1965","460","22","28","102","106","0","12","1792","379","159","122","124","117","35","27"
"1400000US36005004800","Census Tract 48, Bronx County, New York","4680","415","484","243","1129","444","152","152","0","12","0","12","2523","473","392","279","170","167","222","228"
"1400000US36005005902","Census Tract 59.02, Bronx County, New York","2532","288","513","292","675","202","0","12","39","45","0","12","1215","312","90","67","32","38","58","54"
"1400000US36005008300","Census Tract 83, Bronx County, New York","6519","629","857","329","1634","513","28","34","362","331","0","17","3376","600","262","175","69","74","193","175"
"1400000US36005008400","Census Tract 84, Bronx County, New York","2780","305","868","276","943","267","98","148","232","141","0","12","545","245","94","76","9","14","85","73"
"1400000US36005016300","Census Tract 163, Bronx County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US36005016900","Census Tract 169, Bronx County, New York","1513","249","223","100","794","204","0","12","4","7","0","12","478","191","14","15","8","12","6","10"
"1400000US36005017300","Census Tract 173, Bronx County, New York","5689","516","561","306","2291","808","0","17","154","139","0","17","2340","888","343","229","69","75","274","235"
"1400000US36005024600","Census Tract 246, Bronx County, New York","2082","278","1001","190","141","87","0","12","292","179","0","12","643","244","5","9","5","9","0","12"
"1400000US36005024900","Census Tract 249, Bronx County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US36005025000","Census Tract 250, Bronx County, New York","2582","290","1546","377","43","67","28","47","363","169","0","12","467","216","135","125","135","125","0","12"
"1400000US36005025200","Census Tract 252, Bronx County, New York","2711","237","1329","236","178","135","69","86","371","160","0","12","581","232","183","133","38","33","145","137"
"1400000US36005025700","Census Tract 257, Bronx County, New York","1969","338","209","112","360","111","14","20","6","8","0","12","1328","325","52","49","32","44","20","22"
"1400000US36005027700","Census Tract 277, Bronx County, New York","4883","531","1058","313","701","210","138","129","149","122","0","12","2528","622","309","139","206","147","103","80"
"1400000US36005028500","Census Tract 285, Bronx County, New York","3527","281","2303","302","214","126","13","20","461","221","0","12","318","128","218","144","77","77","141","123"
"1400000US36005028600","Census Tract 286, Bronx County, New York","1116","163","699","159","21","22","0","12","226","147","0","12","136","86","34","41","34","41","0","12"
"1400000US36005019900","Census Tract 199, Bronx County, New York","8462","739","1517","588","2934","661","0","17","0","17","0","17","3456","576","555","357","75","106","480","345"
"1400000US36005028900","Census Tract 289, Bronx County, New York","4773","461","2266","533","387","252","0","12","155","130","0","12","1665","421","300","290","205","251","95","75"
"1400000US36005031200","Census Tract 312, Bronx County, New York","1598","214","747","145","510","246","0","12","221","125","0","12","46","33","74","52","15","21","59","42"
"1400000US36005018900","Census Tract 189, Bronx County, New York","8259","722","1485","537","2535","451","16","26","46","57","0","17","4016","712","161","137","36","42","125","132"
"1400000US36005020200","Census Tract 202, Bronx County, New York","2252","212","551","158","342","109","7","11","312","149","0","12","897","210","143","88","54","60","89","68"
"1400000US36005020601","Census Tract 206.01, Bronx County, New York","2336","465","527","221","236","115","0","12","650","241","0","12","833","459","90","198","9","14","81","197"
"1400000US36005021100","Census Tract 211, Bronx County, New York","5138","385","255","139","2240","389","19","30","32","33","0","17","2359","380","233","149","37","39","196","138"
"1400000US36005021200","Census Tract 212, Bronx County, New York","4960","499","722","304","2186","351","47","73","1014","289","0","12","768","333","223","152","99","110","124","102"
"1400000US36005021601","Census Tract 216.01, Bronx County, New York","4356","396","908","408","1389","310","48","79","137","123","0","12","1728","482","146","117","69","73","77","98"
"1400000US36005025600","Census Tract 256, Bronx County, New York","1688","268","727","235","368","166","0","12","188","113","0","12","310","256","95","75","27","30","68","69"
"1400000US36005022703","Census Tract 227.03, Bronx County, New York","1736","198","283","146","473","189","0","12","113","70","0","12","766","296","101","87","0","12","101","87"
"1400000US36005023702","Census Tract 237.02, Bronx County, New York","1143","185","110","70","252","94","0","12","3","5","0","12","778","133","0","12","0","12","0","12"
"1400000US36005024000","Census Tract 240, Bronx County, New York","4234","553","764","311","1113","412","0","12","72","64","0","12","2161","508","124","107","87","100","37","45"
"1400000US36005026300","Census Tract 263, Bronx County, New York","6015","776","1282","461","1270","413","217","184","0","17","0","17","2947","643","299","237","15","26","284","234"
"1400000US36005026500","Census Tract 265, Bronx County, New York","7615","916","992","462","946","454","0","17","373","242","0","17","5081","1115","223","162","143","160","80","54"
"1400000US36005028100","Census Tract 281, Bronx County, New York","4236","436","2033","421","936","369","0","12","119","96","28","44","956","366","164","112","9","15","155","110"
"1400000US36005028300","Census Tract 283, Bronx County, New York","2618","294","748","262","894","303","0","12","1","3","0","12","849","289","126","85","109","84","17","26"
"1400000US36005031400","Census Tract 314, Bronx County, New York","2209","223","1062","181","311","133","0","12","256","125","0","12","570","195","10","15","0","12","10","15"
"1400000US36005032800","Census Tract 328, Bronx County, New York","3982","362","1019","329","750","267","56","59","345","218","0","12","1550","498","262","195","175","155","87","113"
"1400000US36005037400","Census Tract 374, Bronx County, New York","3838","636","477","274","2286","481","0","12","35","68","0","12","966","457","74","58","13","18","61","56"
"1400000US36005038200","Census Tract 382, Bronx County, New York","2943","306","217","120","2244","286","0","12","66","62","0","12","411","214","5","8","0","12","5","8"
"1400000US36005038600","Census Tract 386, Bronx County, New York","8737","901","132","205","7034","1029","0","17","993","953","0","17","340","326","238","243","60","63","178","233"
"1400000US36005000400","Census Tract 4, Bronx County, New York","5634","517","2623","427","1699","432","30","33","226","155","0","17","847","350","209","117","18","28","191","117"
"1400000US36005000200","Census Tract 2, Bronx County, New York","4542","574","2165","547","1279","472","0","12","104","87","0","12","801","439","193","155","59","95","134","123"
"1400000US36005003500","Census Tract 35, Bronx County, New York","3900","363","547","223","1425","330","82","98","0","12","0","12","1754","373","92","89","75","76","17","31"
"1400000US36005004001","Census Tract 40.01, Bronx County, New York","1485","192","450","147","163","84","0","12","175","93","0","12","659","213","38","34","14","25","24","23"
"1400000US36005004300","Census Tract 43, Bronx County, New York","6088","595","898","297","1924","460","39","63","42","70","0","17","2888","512","297","221","178","192","119","124"
"1400000US36005005200","Census Tract 52, Bronx County, New York","2091","259","311","185","505","152","36","38","9","13","0","12","1134","239","96","71","82","68","14","23"
"1400000US36005039000","Census Tract 390, Bronx County, New York","2766","413","217","142","2361","433","0","12","62","97","0","12","79","140","47","56","47","56","0","12"
"1400000US36005039300","Census Tract 393, Bronx County, New York","8721","639","1193","426","2531","459","0","17","96","95","0","17","4415","804","486","367","307","281","179","151"
"1400000US36005040302","Census Tract 403.02, Bronx County, New York","4300","341","443","231","631","173","89","80","175","104","0","12","2825","435","137","123","25","39","112","117"
"1400000US36005040400","Census Tract 404, Bronx County, New York","3370","469","198","150","2984","472","8","15","0","12","0","12","180","143","0","12","0","12","0","12"
"1400000US36005040701","Census Tract 407.01, Bronx County, New York","3259","416","539","230","402","231","0","12","40","37","0","12","2267","526","11","17","0","12","11","17"
"1400000US36005041500","Census Tract 415, Bronx County, New York","6058","518","776","273","1260","458","39","64","38","61","0","17","3580","587","365","223","231","212","134","101"
"1400000US36005043600","Census Tract 436, Bronx County, New York","2042","312","141","97","1418","244","0","12","118","95","0","12","358","285","7","12","7","12","0","12"
"1400000US36005038900","Census Tract 389, Bronx County, New York","5453","649","1779","406","442","173","38","59","179","109","0","17","2958","594","57","49","27","42","30","27"
"1400000US36005044800","Census Tract 448, Bronx County, New York","1917","270","99","70","1600","277","0","12","0","12","0","12","207","119","11","12","5","8","6","9"
"1400000US36005051600","Census Tract 516, Bronx County, New York","4036","594","3266","505","4","7","0","12","226","263","0","12","375","302","165","202","165","202","0","12"
"1400000US36005039200","Census Tract 392, Bronx County, New York","1655","225","123","84","1230","244","0","12","0","12","0","12","269","132","33","38","33","38","0","12"
"1400000US36005039100","Census Tract 391, Bronx County, New York","7438","899","1677","589","1148","389","0","17","143","135","0","17","3861","1032","609","451","342","396","267","227"
"1400000US36005039400","Census Tract 394, Bronx County, New York","5308","506","594","222","3630","454","152","214","0","17","0","17","682","363","250","228","12","19","238","227"
"1400000US36005039800","Census Tract 398, Bronx County, New York","3587","441","354","259","3139","406","0","12","33","53","0","12","61","79","0","12","0","12","0","12"
"1400000US36005041400","Census Tract 414, Bronx County, New York","5163","463","738","228","3123","464","0","17","157","95","0","17","873","321","272","191","80","86","192","162"
"1400000US36005041800","Census Tract 418, Bronx County, New York","3957","526","617","326","2249","440","0","12","532","186","0","12","257","135","302","254","175","188","127","182"
"1400000US36005042200","Census Tract 422, Bronx County, New York","3292","505","142","84","2743","519","15","24","30","54","0","12","286","185","76","49","0","12","76","49"
"1400000US36005043000","Census Tract 430, Bronx County, New York","3551","491","303","236","2463","590","10","16","194","153","0","12","372","370","209","164","14","23","195","145"
"1400000US36005043100","Census Tract 431, Bronx County, New York","10627","798","2027","631","2312","659","16","25","1396","432","0","19","4025","1050","851","354","324","211","527","342"
"1400000US36005044901","Census Tract 449.01, Bronx County, New York","1631","144","1367","148","131","86","7","11","27","24","0","12","48","49","51","39","0","12","51","39"
"1400000US36005046201","Census Tract 462.01, Bronx County, New York","28272","1874","5503","1649","17050","1847","59","106","848","411","0","22","3358","1489","1454","829","563","477","891","688"
"1400000US36005046202","Census Tract 462.02, Bronx County, New York","9915","948","1011","457","6787","1045","379","412","104","118","0","17","1255","498","379","288","127","160","252","227"
"1400000US36005022500","Census Tract 225, Bronx County, New York","8271","702","906","352","2513","616","0","17","161","161","0","17","4248","848","443","259","333","244","110","120"
"1400000US36005022800","Census Tract 228, Bronx County, New York","6096","668","1812","503","1253","431","0","17","760","288","0","17","1880","617","391","401","57","81","334","417"
"1400000US36005023200","Census Tract 232, Bronx County, New York","2711","274","965","191","333","164","32","35","106","68","0","12","1207","263","68","59","7","9","61","58"
"1400000US36005004600","Census Tract 46, Bronx County, New York","1817","237","817","246","655","257","0","12","0","12","0","12","232","113","113","114","97","111","16","26"
"1400000US36005006000","Census Tract 60, Bronx County, New York","1451","267","367","254","310","148","0","12","43","37","0","12","711","153","20","21","12","17","8","13"
"1400000US36005007000","Census Tract 70, Bronx County, New York","4584","692","1013","576","1165","419","0","12","571","285","0","12","1648","499","187","224","18","25","169","224"
"1400000US36005007300","Census Tract 73, Bronx County, New York","4314","386","746","365","1142","258","0","12","0","12","102","136","2247","531","77","72","9","15","68","70"
"1400000US36005007400","Census Tract 74, Bronx County, New York","3314","377","1456","495","1087","220","0","12","0","12","0","12","657","363","114","78","41","35","73","67"
"1400000US36005007500","Census Tract 75, Bronx County, New York","6112","518","730","312","2765","477","142","134","40","62","0","17","2217","463","218","130","139","103","79","80"
"1400000US36005007700","Census Tract 77, Bronx County, New York","2022","199","314","112","743","215","39","59","14","17","0","12","872","233","40","41","18","21","22","35"
"1400000US36005009200","Census Tract 92, Bronx County, New York","6091","432","1212","346","1227","408","0","17","1088","349","0","17","2060","502","504","230","317","171","187","146"
"1400000US36005012701","Census Tract 127.01, Bronx County, New York","1832","289","414","199","376","190","23","37","65","56","0","12","940","254","14","21","10","20","4","7"
"1400000US36005013500","Census Tract 135, Bronx County, New York","3541","457","561","317","1506","360","12","19","0","12","130","205","1144","331","188","132","121","116","67","87"
"1400000US36005013800","Census Tract 138, Bronx County, New York","2597","382","1807","403","195","169","0","12","159","181","0","12","390","190","46","55","0","12","46","55"
"1400000US36005016100","Census Tract 161, Bronx County, New York","4361","379","317","189","1624","341","0","12","0","12","11","16","2337","439","72","63","32","37","40","51"
"1400000US36005017100","Census Tract 171, Bronx County, New York","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US36005019500","Census Tract 195, Bronx County, New York","7418","689","1025","394","2931","588","5","11","15","23","0","17","2796","543","646","420","217","191","429","376"
"1400000US36005022902","Census Tract 229.02, Bronx County, New York","3578","471","563","284","1033","374","0","12","20","24","0","12","1786","413","176","223","60","75","116","203"
"1400000US36005023302","Census Tract 233.02, Bronx County, New York","3627","375","894","310","952","266","22","29","80","86","0","12","1637","468","42","63","42","63","0","12"
"1400000US36005024400","Census Tract 244, Bronx County, New York","2277","224","973","162","142","86","9","15","50","37","0","12","1008","299","95","103","7","11","88","101"
"1400000US36005026900","Census Tract 269, Bronx County, New York","3364","316","432","181","660","237","41","49","149","138","0","12","1969","361","113","106","56","46","57","91"
"1400000US36005027300","Census Tract 273, Bronx County, New York","7895","795","1247","501","2238","781","23","37","135","149","0","17","3554","870","698","460","49","77","649","437"
"1400000US36005029500","Census Tract 295, Bronx County, New York","4649","448","2897","509","579","289","0","12","348","215","0","12","454","197","371","264","196","201","175","139"
"1400000US36005029700","Census Tract 297, Bronx County, New York","3727","271","2855","309","220","85","0","12","216","114","0","12","301","156","135","69","1","16","134","67"
"1400000US36005031000","Census Tract 310, Bronx County, New York","4776","492","2136","328","1114","328","191","265","505","227","0","12","688","397","142","94","28","36","114","85"
"1400000US36005031600","Census Tract 316, Bronx County, New York","1910","215","910","228","181","109","0","12","233","157","0","12","504","212","82","56","36","45","46","37"
"1400000US36005031800","Census Tract 318, Bronx County, New York","1987","290","977","243","503","272","29","41","179","107","63","96","227","137","9","14","0","12","9","14"
"1400000US36005032300","Census Tract 323, Bronx County, New York","4400","378","2997","404","608","251","0","12","390","222","0","12","251","216","154","93","12","15","142","92"
"1400000US36005032400","Census Tract 324, Bronx County, New York","3696","420","745","381","893","264","0","12","118","144","0","12","1842","689","98","80","41","59","57","63"
"1400000US36005033400","Census Tract 334, Bronx County, New York","72","33","12","15","58","37","0","12","0","12","0","12","2","4","0","12","0","12","0","12"
"1400000US36005036300","Census Tract 363, Bronx County, New York","7735","850","1572","520","1795","429","52","84","0","17","94","122","3919","839","303","270","0","17","303","270"
"1400000US36005037900","Census Tract 379, Bronx County, New York","5268","496","461","222","2740","528","14","22","121","117","0","17","1788","514","144","107","39","56","105","98"
"1400000US36005036902","Census Tract 369.02, Bronx County, New York","2156","225","554","182","691","204","67","99","0","12","0","12","805","227","39","33","19","21","20","25"
"1400000US36005037300","Census Tract 373, Bronx County, New York","5908","671","850","426","3075","770","72","84","3","7","0","17","1741","679","167","157","138","156","29","33"
"1400000US36005037800","Census Tract 378, Bronx County, New York","3033","372","237","186","1842","387","0","12","18","29","0","12","668","372","268","282","268","282","0","12"
"1400000US36005038700","Census Tract 387, Bronx County, New York","3622","421","770","284","710","246","0","12","20","28","0","12","2017","460","105","136","0","12","105","136"
"1400000US36005039600","Census Tract 396, Bronx County, New York","4741","549","252","182","3864","548","0","12","18","51","0","12","506","267","101","93","46","72","55","61"
"1400000US36005040100","Census Tract 401, Bronx County, New York","4610","475","461","159","582","210","0","12","169","77","0","12","3293","585","105","86","62","68","43","49"
"1400000US36005040600","Census Tract 406, Bronx County, New York","3845","510","590","390","2921","531","0","12","40","35","0","12","197","185","97","86","71","71","26","47"
"1400000US36005042300","Census Tract 423, Bronx County, New York","4500","554","1108","293","645","295","20","33","453","226","0","12","2078","594","196","120","102","110","94","65"
"1400000US36005042500","Census Tract 425, Bronx County, New York","6264","804","1399","413","797","492","33","30","448","371","8","16","3374","998","205","133","83","87","122","93"
"1400000US36005042901","Census Tract 429.01, Bronx County, New York","4046","375","1261","522","397","160","0","12","998","360","0","12","1291","321","99","69","55","50","44","44"
"1400000US36005044200","Census Tract 442, Bronx County, New York","3760","412","668","358","2896","500","0","12","0","12","0","12","129","94","67","114","57","113","10","15"
"1400000US36005050400","Census Tract 504, Bronx County, New York","222","140","123","138","61","43","0","12","3","5","0","12","22","30","13","18","0","12","13","18"
"1400000US36005045102","Census Tract 451.02, Bronx County, New York","1765","199","1468","206","114","66","0","12","28","26","0","12","115","89","40","44","0","12","40","44"
"1400000US36005034500","Census Tract 345, Bronx County, New York","3357","388","1935","354","341","147","0","12","205","100","0","12","713","288","163","90","59","54","104","71"
"1400000US36005035600","Census Tract 356, Bronx County, New York","2143","296","153","128","1328","259","24","37","166","188","0","12","362","265","110","116","57","103","53","58"
