                         OLS Regression Results                         ,,,,,,
NYU_Lutheran_Medical_Center                                         ,-1246.4695,523.767,-2.38,0.017,-2273.777,-219.162
New_York_Community_Hospital_of_Brooklyn__Inc                        ,-2521.1163,451.19,-5.588,0,-3406.074,-1636.159
New_York_Presbyterian_Lower_Manhattan_Hospital                      ,4904.6146,394.88,12.421,0,4130.102,5679.127
New_York_Presbyterian_Queens                                        ,-1900.5449,598.751,-3.174,0.002,-3074.925,-726.164
North_Central_Bronx_Hospital                                        ,-450.918,477.778,-0.944,0.345,-1388.024,486.188
Queens_Hospital_Center                                              ,1728.5396,385.602,4.483,0,972.226,2484.853
Richmond_University_Medical_Center                                  ,775.6966,376.19,2.062,0.039,37.844,1513.549
SBH_Health_System                                                   ,-298.9115,426.522,-0.701,0.484,-1135.486,537.663
Staten_Island_University_Hosp_North                                 ,-2250.1966,369.765,-6.085,0,-2975.449,-1524.944
Staten_Island_University_Hosp_South                                 ,-93.2295,347.587,-0.268,0.789,-774.981,588.522
University_Hospital_of_Brooklyn                                     ,-2519.1212,367.96,-6.846,0,-3240.832,-1797.41
Woodhull_Medical___Mental_Health_Center                             ,-511.814,449.044,-1.14,0.255,-1392.562,368.934
Wyckoff_Heights_Medical_Center                                      ,716.9481,422.9,1.695,0.09,-112.522,1546.418
Omnibus:      ,2036.3,  Durbin-Watson:     ,2.039,,,
Prob(Omnibus):,0,  Jarque-Bera (JB):  ,411528.957,,,
Skew:         ,5.807,  Prob(JB):          ,0,,,
Kurtosis:     ,77.793,  Cond. No.          ,5.14E+18,,,
,,,,,,
Warnings:,,,,,,
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.,,,,,,
[2] The smallest eigenvalue is 1.82e-29. This might indicate that there are,,,,,,
strong multicollinearity problems or that the design matrix is singular.,,,,,,
