apr_drg_code,facility_name,race,ethnicity,payment_typology_1,apr_severity_of_illness,age_group,patients,mean_length_of_stay,mean_total_charges_day,System,area_sqmi,Number of Beds
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Moderate,50 to 69,4,5.25,6505.9974999999995,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Medicare,Moderate,70 or Older,5,10,6012.5740000000005,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Private Health Insurance,Major,50 to 69,1,6,5829.45,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Private Health Insurance,Minor,50 to 69,1,4,6739.26,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Private Health Insurance,Moderate,30 to 49,1,8,6238.44,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Self-Pay,Moderate,50 to 69,2,7.5,6617.71,Health+,0.77,912
194,Bellevue Hospital Center,Other Race,Spanish/Hispanic,Self-Pay,Moderate,70 or Older,2,2,9423.89,Health+,0.77,912
194,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Extreme,70 or Older,2,10,7009.35,Health+,0.77,912
194,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Major,50 to 69,3,5.666666666666667,6241.7,Health+,0.77,912
194,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Major,70 or Older,4,8.5,5649.65,Health+,0.77,912
194,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Minor,30 to 49,1,9,5139.56,Health+,0.77,912
194,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Moderate,50 to 69,3,4.666666666666667,6346.153333333334,Health+,0.77,912
194,Bellevue Hospital Center,White,Not Span/Hispanic,Medicare,Moderate,70 or Older,3,4,7566.426666666666,Health+,0.77,912
194,Bellevue Hospital Center,White,Not Span/Hispanic,Private Health Insurance,Major,50 to 69,1,4,6212.13,Health+,0.77,912
194,Bellevue Hospital Center,White,Not Span/Hispanic,Self-Pay,Major,70 or Older,1,7,5902.93,Health+,0.77,912
194,Bellevue Hospital Center,White,Not Span/Hispanic,Self-Pay,Moderate,50 to 69,1,7,6828.8,Health+,0.77,912
194,Bellevue Hospital Center,White,Not Span/Hispanic,Self-Pay,Moderate,70 or Older,1,13,6070.47,Health+,0.77,912
194,Bellevue Hospital Center,White,Spanish/Hispanic,Medicare,Major,50 to 69,1,6,6219.43,Health+,0.77,912
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Major,50 to 69,1,5,3847.57,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Minor,50 to 69,1,3,4138.32,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Extreme,50 to 69,2,7,5210.975,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Extreme,70 or Older,5,11.2,3315.686,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Major,30 to 49,7,4.142857142857143,3654.3785714285714,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Major,50 to 69,26,6.538461538461538,3517.6188461538463,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Major,70 or Older,35,5.314285714285714,3651.0885714285714,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Minor,50 to 69,4,5,3387.1475,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Moderate,30 to 49,1,2,4601.62,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Moderate,50 to 69,29,3.9310344827586206,3828.6051724137933,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Medicare,Moderate,70 or Older,34,3.264705882352941,4201.030882352941,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,50 to 69,8,4.125,3969.30875,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,70 or Older,2,4.5,3378.63,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Minor,30 to 49,1,2,5209.05,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Moderate,30 to 49,1,2,5090.61,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Moderate,50 to 69,4,3.5,4044.035,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Private Health Insurance,Moderate,70 or Older,1,4,4104.06,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Self-Pay,Major,30 to 49,1,8,3224.15,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Self-Pay,Major,50 to 69,1,3,3958.73,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Self-Pay,Moderate,50 to 69,1,4,3312.41,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Not Span/Hispanic,Self-Pay,Moderate,70 or Older,1,4,3754.39,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Spanish/Hispanic,Blue Cross/Blue Shield,Moderate,50 to 69,2,1.5,7254.8,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Spanish/Hispanic,Medicare,Moderate,50 to 69,1,2,4287.89,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Spanish/Hispanic,Self-Pay,Major,50 to 69,1,5,3119.8,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Black/African American,Spanish/Hispanic,Self-Pay,Moderate,50 to 69,1,2,4416.53,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Not Span/Hispanic,Medicare,Major,70 or Older,1,4,3737.38,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Not Span/Hispanic,Medicare,Moderate,50 to 69,1,2,5068.61,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Blue Cross/Blue Shield,Major,50 to 69,1,3,3513.05,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Blue Cross/Blue Shield,Moderate,50 to 69,1,4,3371.68,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Extreme,70 or Older,2,6.5,3455.7799999999997,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Major,30 to 49,3,8.333333333333334,2604.5266666666666,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Major,50 to 69,32,6.5625,3504.325,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Major,70 or Older,44,6.5227272727272725,3276.2179545454546,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Minor,50 to 69,1,2,4649.27,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Minor,70 or Older,2,3,3597.41,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Moderate,30 to 49,2,4,4400.61,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Moderate,50 to 69,21,4.333333333333333,4207.502380952381,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Medicare,Moderate,70 or Older,36,3.4444444444444446,4197.725555555556,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Private Health Insurance,Major,50 to 69,1,8,4112.8,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Private Health Insurance,Minor,30 to 49,1,2,4810.05,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Private Health Insurance,Minor,50 to 69,1,3,3311.34,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Self-Pay,Major,50 to 69,1,9,3451.64,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Spanish/Hispanic,Self-Pay,Moderate,30 to 49,1,3,3379.42,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Blue Cross/Blue Shield,Major,30 to 49,1,9,2740.39,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Extreme,50 to 69,2,6.5,3199.44,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Extreme,70 or Older,2,10,2966.63,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Major,30 to 49,2,2,6125.225,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Major,50 to 69,25,5.24,3931.8456,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Major,70 or Older,37,6.351351351351352,3496.5335135135138,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Minor,50 to 69,1,3,3391.4,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Minor,70 or Older,4,2.75,4197.455,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Moderate,50 to 69,13,4.923076923076923,3490.9584615384615,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Medicare,Moderate,70 or Older,26,4.730769230769231,4002.6715384615386,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Private Health Insurance,Major,30 to 49,2,4.5,3414.575,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Private Health Insurance,Major,50 to 69,1,1,6049.47,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Private Health Insurance,Major,70 or Older,2,7.5,3515.7349999999997,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,Other Race,Unknown,Private Health Insurance,Moderate,50 to 69,1,2,4263.92,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,White,Not Span/Hispanic,Medicare,Major,50 to 69,4,4.5,3434.5975,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,White,Not Span/Hispanic,Medicare,Minor,50 to 69,1,2,4496.66,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,White,Not Span/Hispanic,Medicare,Moderate,50 to 69,1,19,3865.79,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,White,Spanish/Hispanic,Medicare,Extreme,70 or Older,1,12,2773.74,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,White,Spanish/Hispanic,Medicare,Major,50 to 69,1,4,4125.57,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,White,Spanish/Hispanic,Medicare,Major,70 or Older,2,2.5,4529.985000000001,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,White,Spanish/Hispanic,Medicare,Moderate,50 to 69,2,3,3550.575,Mount Sinai,2.194,415
194,Bronx-Lebanon Hospital Center - Concourse Division,White,Spanish/Hispanic,Medicare,Moderate,70 or Older,1,2,5552.53,Mount Sinai,2.194,415
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Major,30 to 49,5,3.8,5586.734,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Major,50 to 69,2,11,5588.835,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Major,70 or Older,1,7,5115.68,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Blue Cross/Blue Shield,Moderate,30 to 49,1,2,3607.35,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Extreme,50 to 69,4,16.25,5895.6224999999995,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Extreme,70 or Older,12,10.166666666666666,5587.0775,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Major,30 to 49,5,3.4,7728.552000000001,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Major,50 to 69,46,5.369565217391305,5701.716304347826,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Major,70 or Older,61,5.836065573770492,5552.447704918033,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Minor,50 to 69,3,2,6807.793333333333,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Minor,70 or Older,3,2.6666666666666665,7152.136666666667,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Moderate,30 to 49,4,3.75,5531.6050000000005,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Moderate,50 to 69,12,2.75,6542.990833333333,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Medicare,Moderate,70 or Older,26,5.615384615384615,5086.503461538461,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Extreme,50 to 69,4,12.5,6707.3475,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Major,50 to 69,4,5.75,6066.077499999999,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Minor,70 or Older,1,7,5158.72,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Moderate,50 to 69,2,2,4889.025,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Private Health Insurance,Moderate,70 or Older,1,8,3805.39,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Self-Pay,Extreme,50 to 69,1,13,4444.02,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Self-Pay,Extreme,70 or Older,1,4,5008.41,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Self-Pay,Major,50 to 69,1,3,5044.54,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Self-Pay,Major,70 or Older,2,4.5,4483.925,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Self-Pay,Minor,50 to 69,2,3,5843.49,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Self-Pay,Moderate,50 to 69,2,4,6603.835000000001,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Not Span/Hispanic,Self-Pay,Moderate,70 or Older,1,6,4324.1,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Spanish/Hispanic,Medicare,Major,70 or Older,1,2,5138.08,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Spanish/Hispanic,Medicare,Minor,50 to 69,1,7,4216.38,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Spanish/Hispanic,Medicare,Moderate,50 to 69,1,2,8511.35,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Blue Cross/Blue Shield,Major,50 to 69,1,6,5093.47,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Blue Cross/Blue Shield,Major,70 or Older,1,7,6071.64,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Medicare,Major,30 to 49,1,3,7404.18,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Medicare,Major,50 to 69,11,3.909090909090909,6726.6845454545455,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Medicare,Major,70 or Older,8,8.625,5728.23125,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Medicare,Minor,50 to 69,1,1,7344.91,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Medicare,Moderate,50 to 69,2,2.5,6012.945000000001,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Medicare,Moderate,70 or Older,11,4.454545454545454,5412.18,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Private Health Insurance,Major,50 to 69,2,6,5974.295,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Private Health Insurance,Moderate,50 to 69,2,1,7955.385,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Private Health Insurance,Moderate,70 or Older,1,3,5980.42,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Self-Pay,Moderate,30 to 49,1,3,7795.48,Others,14.72,530
194,Brookdale Hospital Medical Center,Black/African American,Unknown,Self-Pay,Moderate,50 to 69,1,4,3770.74,Others,14.72,530
194,Brookdale Hospital Medical Center,Multi-racial,Unknown,Medicare,Major,70 or Older,1,3,6064.73,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Not Span/Hispanic,Medicare,Extreme,50 to 69,4,10.25,5828.4425,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Not Span/Hispanic,Medicare,Major,50 to 69,3,7,5927.586666666667,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Not Span/Hispanic,Medicare,Major,70 or Older,4,7.25,6396.0725,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Not Span/Hispanic,Medicare,Moderate,50 to 69,1,7,5248.11,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Not Span/Hispanic,Medicare,Moderate,70 or Older,1,4,4718.96,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Not Span/Hispanic,Self-Pay,Major,70 or Older,1,22,4448.94,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Blue Cross/Blue Shield,Major,50 to 69,1,3,6839.87,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Blue Cross/Blue Shield,Moderate,50 to 69,1,1,8782.38,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Extreme,50 to 69,2,10.5,4896.834999999999,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Extreme,70 or Older,2,5.5,6676.17,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Major,30 to 49,1,11,5694.72,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Major,50 to 69,5,5.6,6250.534,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Major,70 or Older,11,4,6758.953636363636,Others,14.72,530
194,Brookdale Hospital Medical Center,Other Race,Spanish/Hispanic,Medicare,Minor,50 to 69,1,1,5687.12,Others,14.72,530
